Date,Class,Transaction Category,Debit,Credit
07/11/2026,2006,Subject to Tax,,100.46
07/11/2026,2006,Non-Taxable Sales,,3438.62
07/11/2026,2006,Register Audit,188,
07/11/2026,2006,Sales Tax,,6.81
07/11/2026,2006,In-Store Credit Card,1739.42,
07/11/2026,2006,Online Credit card,1217.71,
07/11/2026,2006,Online Gift Card,21.4,
07/11/2026,2006,Online Credit Card Tips,,15
07/11/2026,2006,In-Store Credit Card Tips,,89.86
07/11/2026,2006,Gift Card,115.75,
07/11/2026,2006,3rd Party - DoorDash,196.34,
07/11/2026,2006,3rd Party - GrubHub,92.88,
07/11/2026,2006,3rd Party - UberEats,79.31,
07/11/2026,2006,Cash Over/Short Adjustment,,0.06
07/11/2026,2016,Subject to Tax,,179.8
07/11/2026,2016,Non-Taxable Sales,,4117.83
07/11/2026,2016,3rd Party Tax Exempt,,3.72
07/11/2026,2016,Register Audit,259,
07/11/2026,2016,Sales Tax,,11.88
07/11/2026,2016,In-Store Credit Card,2130.18,
07/11/2026,2016,Online Credit card,1533.78,
07/11/2026,2016,Online Credit Card Tips,,17
07/11/2026,2016,In-Store Credit Card Tips,,114.27
07/11/2026,2016,3rd Party - DoorDash,417.58,
07/11/2026,2016,3rd Party - UberEats,103.02,
07/11/2026,2016,Cash Over/Short Adjustment,0.94,
07/11/2026,2017,Subject to Tax,,109.2
07/11/2026,2017,Non-Taxable Sales,,2706.82
07/11/2026,2017,Register Audit,178,
07/11/2026,2017,Sales Tax,,7.52
07/11/2026,2017,In-Store Credit Card,1385.16,
07/11/2026,2017,Online Credit card,878.19,
07/11/2026,2017,Online Gift Card,19.2,
07/11/2026,2017,Online Credit Card Tips,,43.45
07/11/2026,2017,In-Store Credit Card Tips,,81.21
07/11/2026,2017,Online Gift Card Tips,,1
07/11/2026,2017,Gift Card,117.35,
07/11/2026,2017,3rd Party - DoorDash,269.9,
07/11/2026,2017,3rd Party - GrubHub,69.36,
07/11/2026,2017,3rd Party - UberEats,32.46,
07/11/2026,2017,Cash Over/Short Adjustment,,0.42
07/11/2026,2020,Subject to Tax,,309.56
07/11/2026,2020,Non-Taxable Sales,,3376.76
07/11/2026,2020,3rd Party Tax Exempt,,14.52
07/11/2026,2020,Register Audit,600,
07/11/2026,2020,Sales Tax,,22.45
07/11/2026,2020,In-Store Credit Card,1879.98,
07/11/2026,2020,Online Credit card,1073.06,
07/11/2026,2020,Online Credit Card Tips,,21
07/11/2026,2020,In-Store Credit Card Tips,,130.27
07/11/2026,2020,Gift Card,21.4,
07/11/2026,2020,3rd Party - DoorDash,288.26,
07/11/2026,2020,3rd Party - GrubHub,11.88,
07/11/2026,2020,Cash Over/Short Adjustment,,0.02
07/11/2026,2023,Subject to Tax,,143.28
07/11/2026,2023,Non-Taxable Sales,,4022.63
07/11/2026,2023,3rd Party Tax Exempt,,10.8
07/11/2026,2023,Register Audit,262,
07/11/2026,2023,Sales Tax,,9.71
07/11/2026,2023,In-Store Credit Card,1814.99,
07/11/2026,2023,Payout,34,
07/11/2026,2023,Online Credit card,1242.12,
07/11/2026,2023,Online Gift Card,62.31,
07/11/2026,2023,Online Credit Card Tips,,31.5
07/11/2026,2023,In-Store Credit Card Tips,,127.48
07/11/2026,2023,Gift Card,45,
07/11/2026,2023,3rd Party - DoorDash,473.66,
07/11/2026,2023,3rd Party - GrubHub,66.77,
07/11/2026,2023,3rd Party - UberEats,345.29,
07/11/2026,2023,Cash Over/Short Adjustment,,0.74
07/11/2026,2024,Subject to Tax,,217.84
07/11/2026,2024,Non-Taxable Sales,,3960.12
07/11/2026,2024,3rd Party Tax Exempt,,17.76
07/11/2026,2024,Register Audit,563.95,
07/11/2026,2024,Sales Tax,,17.07
07/11/2026,2024,In-Store Credit Card,2357.35,
07/11/2026,2024,Online Credit card,1017.88,
07/11/2026,2024,Online Gift Card,25,
07/11/2026,2024,Online Credit Card Tips,,16
07/11/2026,2024,In-Store Credit Card Tips,,148.26
07/11/2026,2024,Online Gift Card Tips,,3
07/11/2026,2024,Gift Card,10.7,
07/11/2026,2024,3rd Party - DoorDash,293.73,
07/11/2026,2024,3rd Party - UberEats,111.44,
07/11/2026,2047,Subject to Tax,,226.04
07/11/2026,2047,Non-Taxable Sales,,3636.07
07/11/2026,2047,3rd Party Tax Exempt,,10.8
07/11/2026,2047,Register Audit,288,
07/11/2026,2047,Sales Tax,,16.06
07/11/2026,2047,In-Store Credit Card,2215.16,
07/11/2026,2047,Online Credit card,1062.49,
07/11/2026,2047,Online Credit Card Tips,,28.4
07/11/2026,2047,In-Store Credit Card Tips,,153.52
07/11/2026,2047,Gift Card Sold,,80
07/11/2026,2047,3rd Party - DoorDash,346.97,
07/11/2026,2047,3rd Party - GrubHub,52.84,
07/11/2026,2047,3rd Party - UberEats,185.39,
07/11/2026,2047,Cash Over/Short Adjustment,0.04,
07/11/2026,4003,Subject to Tax,,4497.69
07/11/2026,4003,Register Audit,317,
07/11/2026,4003,Sales Tax,,438.57
07/11/2026,4003,In-Store Credit Card,2837.11,
07/11/2026,4003,Online Credit card,1303.25,
07/11/2026,4003,Online Gift Card,11.74,
07/11/2026,4003,Online Credit Card Tips,,40.98
07/11/2026,4003,In-Store Credit Card Tips,,183.11
07/11/2026,4003,Gift Card,2.09,
07/11/2026,4003,3rd Party - DoorDash,494.91,
07/11/2026,4003,3rd Party - GrubHub,13.76,
07/11/2026,4003,3rd Party - UberEats,178.83,
07/11/2026,4003,Cash Over/Short Adjustment,0.66,
07/11/2026,4003,Register Audit Adjustment,1,
07/11/2026,4004,Subject to Tax,,3360.74
07/11/2026,4004,Register Audit,99,
07/11/2026,4004,Sales Tax,,327.68
07/11/2026,4004,In-Store Credit Card,1629.35,
07/11/2026,4004,Online Credit card,542.79,
07/11/2026,4004,Online Credit Card Tips,,9
07/11/2026,4004,In-Store Credit Card Tips,,93.49
07/11/2026,4004,Gift Card,19.12,
07/11/2026,4004,3rd Party - DoorDash,820.11,
07/11/2026,4004,3rd Party - UberEats,681.36,
07/11/2026,4004,Cash Over/Short Adjustment,,0.82
07/11/2026,4005,Subject to Tax,,4648.79
07/11/2026,4005,Tax Exempt,,350
07/11/2026,4005,Register Audit,248,
07/11/2026,4005,Sales Tax,,453.17
07/11/2026,4005,In-Store Credit Card,3308.4,
07/11/2026,4005,Online Credit card,1432.19,
07/11/2026,4005,In-Store Credit Card Tips,,201.78
07/11/2026,4005,Gift Card,14.82,
07/11/2026,4005,Gift Card Sold,,375
07/11/2026,4005,3rd Party - DoorDash,526.88,
07/11/2026,4005,3rd Party - GrubHub,18.49,
07/11/2026,4005,3rd Party - UberEats,479.88,
07/11/2026,4005,Cash Over/Short Adjustment,0.08,
07/11/2026,4008,Subject to Tax,,3459.93
07/11/2026,4008,Register Audit,265,
07/11/2026,4008,Sales Tax,,337.28
07/11/2026,4008,In-Store Credit Card,2000.45,
07/11/2026,4008,Online Credit card,905.06,
07/11/2026,4008,Online Gift Card,24.42,
07/11/2026,4008,Online Credit Card Tips,,20
07/11/2026,4008,In-Store Credit Card Tips,,119.55
07/11/2026,4008,Gift Card,37,
07/11/2026,4008,3rd Party - DoorDash,547.84,
07/11/2026,4008,3rd Party - GrubHub,60,
07/11/2026,4008,3rd Party - UberEats,97.68,
07/11/2026,4008,Cash Over/Short Adjustment,,0.69
07/11/2026,4009,Subject to Tax,,2258.9
07/11/2026,4009,Register Audit,83,
07/11/2026,4009,Sales Tax,,220.24
07/11/2026,4009,In-Store Credit Card,1242.43,
07/11/2026,4009,Payout,80,
07/11/2026,4009,Online Credit card,426.4,
07/11/2026,4009,Online Credit Card Tips,,7.92
07/11/2026,4009,In-Store Credit Card Tips,,72.35
07/11/2026,4009,3rd Party - DoorDash,456.61,
07/11/2026,4009,3rd Party - UberEats,271.48,
07/11/2026,4009,Cash Over/Short Adjustment,,0.51
07/11/2026,4010,Subject to Tax,,3068.16
07/11/2026,4010,Register Audit,290,
07/11/2026,4010,Sales Tax,,299.17
07/11/2026,4010,In-Store Credit Card,1596.61,
07/11/2026,4010,Online Credit card,749.02,
07/11/2026,4010,In-Store Credit Card Tips,,117.91
07/11/2026,4010,3rd Party - DoorDash,391.38,
07/11/2026,4010,3rd Party - GrubHub,35.86,
07/11/2026,4010,3rd Party - UberEats,421.59,
07/11/2026,4010,Cash Over/Short Adjustment,0.78,
07/11/2026,4015,Subject to Tax,,3940.61
07/11/2026,4015,Register Audit,188,
07/11/2026,4015,Sales Tax,,384.22
07/11/2026,4015,In-Store Credit Card,2186.47,
07/11/2026,4015,Online Credit card,1106.37,
07/11/2026,4015,Online Gift Card,18.37,
07/11/2026,4015,Online Credit Card Tips,,21
07/11/2026,4015,In-Store Credit Card Tips,,133.24
07/11/2026,4015,3rd Party - DoorDash,680.32,
07/11/2026,4015,3rd Party - UberEats,299.54,
07/11/2026,4021,Subject to Tax,,3039.13
07/11/2026,4021,Register Audit,156,
07/11/2026,4021,Sales Tax,,296.26
07/11/2026,4021,In-Store Credit Card,1949.71,
07/11/2026,4021,Online Credit card,750.34,
07/11/2026,4021,Online Credit Card Tips,,16
07/11/2026,4021,In-Store Credit Card Tips,,126.82
07/11/2026,4021,Gift Card,9.13,
07/11/2026,4021,3rd Party - DoorDash,318.53,
07/11/2026,4021,3rd Party - UberEats,294.06,
07/11/2026,4021,Cash Over/Short Adjustment,0.44,
07/11/2026,4025,Subject to Tax,,3141.14
07/11/2026,4025,Register Audit,290,
07/11/2026,4025,Sales Tax,,306.29
07/11/2026,4025,In-Store Credit Card,1597.69,
07/11/2026,4025,Online Credit card,1017.95,
07/11/2026,4025,Online Gift Card,25,
07/11/2026,4025,Online Credit Card Tips,,23
07/11/2026,4025,In-Store Credit Card Tips,,85.21
07/11/2026,4025,Online Gift Card Tips,,3
07/11/2026,4025,Gift Card,19.97,
07/11/2026,4025,3rd Party - DoorDash,311.04,
07/11/2026,4025,3rd Party - GrubHub,18.17,
07/11/2026,4025,3rd Party - UberEats,278.85,
07/11/2026,4025,Cash Over/Short Adjustment,,0.03
07/11/2026,4027,Subject to Tax,,3746.33
07/11/2026,4027,Register Audit,200,
07/11/2026,4027,Sales Tax,,365.27
07/11/2026,4027,In-Store Credit Card,1654.38,
07/11/2026,4027,Online Credit card,1141.38,
07/11/2026,4027,In-Store Credit Card Tips,,90.7
07/11/2026,4027,Gift Card,25,
07/11/2026,4027,3rd Party - DoorDash,661.97,
07/11/2026,4027,3rd Party - UberEats,519.47,
07/11/2026,4027,Cash Over/Short Adjustment,0.1,
07/11/2026,4034,Subject to Tax,,3891.49
07/11/2026,4034,Register Audit,308,
07/11/2026,4034,Sales Tax,,379.46
07/11/2026,4034,In-Store Credit Card,2284.28,
07/11/2026,4034,Online Credit card,1319.33,
07/11/2026,4034,Online Gift Card,42.96,
07/11/2026,4034,Online Credit Card Tips,,42.81
07/11/2026,4034,In-Store Credit Card Tips,,176.02
07/11/2026,4034,Gift Card,80.54,
07/11/2026,4034,3rd Party - DoorDash,454.84,
07/11/2026,4034,Cash Over/Short Adjustment,,0.17
07/11/2026,4036,Subject to Tax,,4411.73
07/11/2026,4036,Register Audit,506,
07/11/2026,4036,Sales Tax,,430.07
07/11/2026,4036,In-Store Credit Card,2090.9,
07/11/2026,4036,Online Credit card,1065.6,
07/11/2026,4036,Online Credit Card Tips,,45
07/11/2026,4036,In-Store Credit Card Tips,,90.82
07/11/2026,4036,Gift Card,45.23,
07/11/2026,4036,3rd Party - DoorDash,885.52,
07/11/2026,4036,3rd Party - GrubHub,66.63,
07/11/2026,4036,3rd Party - UberEats,317.58,
07/11/2026,4036,Cash Over/Short Adjustment,0.16,
07/11/2026,4042,Subject to Tax,,6409.75
07/11/2026,4042,Sales Tax,,624.96
07/11/2026,4042,In-Store Credit Card,2473.28,
07/11/2026,4042,Online Credit card,2540.14,
07/11/2026,4042,Online Gift Card,1.65,
07/11/2026,4042,Online Credit Card Tips,,46.5
07/11/2026,4042,In-Store Credit Card Tips,,142.54
07/11/2026,4042,Gift Card,64.86,
07/11/2026,4042,3rd Party - DoorDash,1471.89,
07/11/2026,4042,3rd Party - GrubHub,78.1,
07/11/2026,4042,3rd Party - UberEats,246.5,
07/11/2026,4042,Cash Over/Short Adjustment,0.33,
07/11/2026,4042,Register Audit Adjustment,347,
07/11/2026,4052,Subject to Tax,,4515.04
07/11/2026,4052,Register Audit,590,
07/11/2026,4052,Sales Tax,,440.17
07/11/2026,4052,In-Store Credit Card,2575.79,
07/11/2026,4052,Payout,5.7,
07/11/2026,4052,Online Credit card,1228.65,
07/11/2026,4052,Online Credit Card Tips,,54
07/11/2026,4052,In-Store Credit Card Tips,,133.31
07/11/2026,4052,Gift Card,48.7,
07/11/2026,4052,3rd Party - DoorDash,564.27,
07/11/2026,4052,3rd Party - UberEats,121.79,
07/11/2026,4052,Cash Over/Short Adjustment,0.62,
07/11/2026,4052,Register Audit Adjustment,7,
07/11/2026,4061,Subject to Tax,,3931.72
07/11/2026,4061,Register Audit,357,
07/11/2026,4061,Sales Tax,,383.3
07/11/2026,4061,In-Store Credit Card,2053.6,
07/11/2026,4061,Online Credit card,1330.22,
07/11/2026,4061,Online Credit Card Tips,,44
07/11/2026,4061,In-Store Credit Card Tips,,144.88
07/11/2026,4061,3rd Party - DoorDash,602.69,
07/11/2026,4061,3rd Party - UberEats,160.73,
07/11/2026,4061,Cash Over/Short Adjustment,,0.34
07/11/2026,4074,Subject to Tax,,3376.12
