DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
08/03/2026 - 08/04/2026,2006,7541.50,Royalty Fee,651000,Royalties,490.20,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2006,7541.50,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,490.20,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2006,7541.50,National Media Fee,560000,Advertising-National,301.66,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2006,7541.50,National Media Bank Entry,217000,Accrued Royalties,0.00,301.66,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2006,7541.50,Corporate Advertising Fee,560001,Advertising-Production Fund,75.42,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2006,7541.50,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,75.42,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2016,7011.48,Royalty Fee,651000,Royalties,455.75,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2016,7011.48,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,455.75,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2016,7011.48,National Media Fee,560000,Advertising-National,280.46,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2016,7011.48,National Media Bank Entry,217000,Accrued Royalties,0.00,280.46,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2016,7011.48,Corporate Advertising Fee,560001,Advertising-Production Fund,70.11,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2016,7011.48,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,70.11,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2017,6888.97,Royalty Fee,651000,Royalties,447.78,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2017,6888.97,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,447.78,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2017,6888.97,National Media Fee,560000,Advertising-National,275.56,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2017,6888.97,National Media Bank Entry,217000,Accrued Royalties,0.00,275.56,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2017,6888.97,Corporate Advertising Fee,560001,Advertising-Production Fund,68.89,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2017,6888.97,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,68.89,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2020,5972.11,Royalty Fee,651000,Royalties,388.19,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2020,5972.11,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,388.19,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2020,5972.11,National Media Fee,560000,Advertising-National,238.88,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2020,5972.11,National Media Bank Entry,217000,Accrued Royalties,0.00,238.88,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2020,5972.11,Corporate Advertising Fee,560001,Advertising-Production Fund,59.72,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2020,5972.11,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,59.72,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2023,7388.67,Royalty Fee,651000,Royalties,480.26,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2023,7388.67,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,480.26,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2023,7388.67,National Media Fee,560000,Advertising-National,295.55,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2023,7388.67,National Media Bank Entry,217000,Accrued Royalties,0.00,295.55,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2023,7388.67,Corporate Advertising Fee,560001,Advertising-Production Fund,73.89,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2023,7388.67,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,73.89,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2024,6400.67,Royalty Fee,651000,Royalties,416.04,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2024,6400.67,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,416.04,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2024,6400.67,National Media Fee,560000,Advertising-National,256.03,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2024,6400.67,National Media Bank Entry,217000,Accrued Royalties,0.00,256.03,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2024,6400.67,Corporate Advertising Fee,560001,Advertising-Production Fund,64.01,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2024,6400.67,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,64.01,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2047,5653.16,Royalty Fee,651000,Royalties,367.46,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,2047,5653.16,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,367.46,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,2047,5653.16,National Media Fee,560000,Advertising-National,226.13,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,2047,5653.16,National Media Bank Entry,217000,Accrued Royalties,0.00,226.13,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,2047,5653.16,Corporate Advertising Fee,560001,Advertising-Production Fund,56.53,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,2047,5653.16,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,56.53,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4003,8635.18,Royalty Fee,651000,Royalties,561.29,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4003,8635.18,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,561.29,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4003,8635.18,National Media Fee,560000,Advertising-National,345.41,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4003,8635.18,National Media Bank Entry,217000,Accrued Royalties,0.00,345.41,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4003,8635.18,Corporate Advertising Fee,560001,Advertising-Production Fund,86.35,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4003,8635.18,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,86.35,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4004,7901.07,Royalty Fee,651000,Royalties,513.57,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4004,7901.07,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,513.57,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4004,7901.07,National Media Fee,560000,Advertising-National,316.04,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4004,7901.07,National Media Bank Entry,217000,Accrued Royalties,0.00,316.04,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4004,7901.07,Corporate Advertising Fee,560001,Advertising-Production Fund,79.01,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4004,7901.07,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,79.01,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4005,7911.37,Royalty Fee,651000,Royalties,514.24,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4005,7911.37,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,514.24,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4005,7911.37,National Media Fee,560000,Advertising-National,316.45,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4005,7911.37,National Media Bank Entry,217000,Accrued Royalties,0.00,316.45,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4005,7911.37,Corporate Advertising Fee,560001,Advertising-Production Fund,79.11,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4005,7911.37,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,79.11,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4008,5427.62,Royalty Fee,651000,Royalties,352.80,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4008,5427.62,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,352.80,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4008,5427.62,National Media Fee,560000,Advertising-National,217.10,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4008,5427.62,National Media Bank Entry,217000,Accrued Royalties,0.00,217.10,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4008,5427.62,Corporate Advertising Fee,560001,Advertising-Production Fund,54.28,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4008,5427.62,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,54.28,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4009,5276.29,Royalty Fee,651000,Royalties,342.96,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4009,5276.29,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,342.96,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4009,5276.29,National Media Fee,560000,Advertising-National,211.05,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4009,5276.29,National Media Bank Entry,217000,Accrued Royalties,0.00,211.05,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4009,5276.29,Corporate Advertising Fee,560001,Advertising-Production Fund,52.76,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4009,5276.29,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,52.76,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4010,5008.58,Royalty Fee,651000,Royalties,325.56,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4010,5008.58,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,325.56,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4010,5008.58,National Media Fee,560000,Advertising-National,200.34,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4010,5008.58,National Media Bank Entry,217000,Accrued Royalties,0.00,200.34,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4010,5008.58,Corporate Advertising Fee,560001,Advertising-Production Fund,50.09,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4010,5008.58,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,50.09,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4015,6412.00,Royalty Fee,651000,Royalties,416.78,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4015,6412.00,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,416.78,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4015,6412.00,National Media Fee,560000,Advertising-National,256.48,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4015,6412.00,National Media Bank Entry,217000,Accrued Royalties,0.00,256.48,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4015,6412.00,Corporate Advertising Fee,560001,Advertising-Production Fund,64.12,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4015,6412.00,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,64.12,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4021,7282.73,Royalty Fee,651000,Royalties,473.38,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/04/2026,4021,7282.73,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,473.38,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4021,7282.73,National Media Fee,560000,Advertising-National,291.31,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/04/2026,4021,7282.73,National Media Bank Entry,217000,Accrued Royalties,0.00,291.31,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/04/2026,4021,7282.73,Corporate Advertising Fee,560001,Advertising-Production Fund,72.83,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/04/2026,4021,7282.73,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,72.83,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/04/2026,4025,5922.32,Royalty Fee,651000,Royalties,384.95,0.00,TQSR - Royalty Fee,0,
