DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
08/03/2026 - 08/03/2026,2006,3638.59,Royalty Fee,651000,Royalties,236.51,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2006,3638.59,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,236.51,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2006,3638.59,National Media Fee,560000,Advertising-National,145.54,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2006,3638.59,National Media Bank Entry,217000,Accrued Royalties,0.00,145.54,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2006,3638.59,Corporate Advertising Fee,560001,Advertising-Production Fund,36.39,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2006,3638.59,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,36.39,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2016,3276.82,Royalty Fee,651000,Royalties,212.99,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2016,3276.82,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,212.99,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2016,3276.82,National Media Fee,560000,Advertising-National,131.07,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2016,3276.82,National Media Bank Entry,217000,Accrued Royalties,0.00,131.07,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2016,3276.82,Corporate Advertising Fee,560001,Advertising-Production Fund,32.77,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2016,3276.82,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,32.77,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2017,3426.69,Royalty Fee,651000,Royalties,222.73,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2017,3426.69,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,222.73,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2017,3426.69,National Media Fee,560000,Advertising-National,137.07,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2017,3426.69,National Media Bank Entry,217000,Accrued Royalties,0.00,137.07,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2017,3426.69,Corporate Advertising Fee,560001,Advertising-Production Fund,34.27,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2017,3426.69,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,34.27,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2020,2842.16,Royalty Fee,651000,Royalties,184.74,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2020,2842.16,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,184.74,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2020,2842.16,National Media Fee,560000,Advertising-National,113.69,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2020,2842.16,National Media Bank Entry,217000,Accrued Royalties,0.00,113.69,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2020,2842.16,Corporate Advertising Fee,560001,Advertising-Production Fund,28.42,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2020,2842.16,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,28.42,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2024,3354.40,Royalty Fee,651000,Royalties,218.04,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2024,3354.40,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,218.04,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2024,3354.40,National Media Fee,560000,Advertising-National,134.18,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2024,3354.40,National Media Bank Entry,217000,Accrued Royalties,0.00,134.18,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2024,3354.40,Corporate Advertising Fee,560001,Advertising-Production Fund,33.54,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2024,3354.40,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,33.54,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2047,3003.14,Royalty Fee,651000,Royalties,195.20,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/03/2026,2047,3003.14,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,195.20,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/03/2026,2047,3003.14,National Media Fee,560000,Advertising-National,120.13,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/03/2026,2047,3003.14,National Media Bank Entry,217000,Accrued Royalties,0.00,120.13,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/03/2026,2047,3003.14,Corporate Advertising Fee,560001,Advertising-Production Fund,30.03,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/03/2026,2047,3003.14,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,30.03,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/03/2026,4003,4340.92,Royalty Fee,651000,Royalties,282.16,0.00,TQSR - Royalty Fee,0,
