Date,Class,Transaction Category,Debit,Credit
07/20/2026,2006,Subject to Tax,,108.08
07/20/2026,2006,Non-Taxable Sales,,3041.87
07/20/2026,2006,3rd Party Tax Exempt,,34.2
07/20/2026,2006,Register Audit,42,
07/20/2026,2006,Sales Tax,,7.73
07/20/2026,2006,In-Store Credit Card,1318.89,
07/20/2026,2006,Payout,98.5,
07/20/2026,2006,Online Credit card,991.36,
07/20/2026,2006,Online Gift Card,42.05,
07/20/2026,2006,Online Credit Card Tips,,32.85
07/20/2026,2006,In-Store Credit Card Tips,,72.24
07/20/2026,2006,Online Gift Card Tips,,1
07/20/2026,2006,3rd Party - DoorDash,571.88,
07/20/2026,2006,3rd Party - GrubHub,64.91,
07/20/2026,2006,3rd Party - UberEats,169.07,
07/20/2026,2006,Cash Over/Short Adjustment,,0.69
07/20/2026,2016,Subject to Tax,,119.93
07/20/2026,2016,Non-Taxable Sales,,3051.53
07/20/2026,2016,3rd Party Tax Exempt,,29.76
07/20/2026,2016,Register Audit,307,
07/20/2026,2016,Sales Tax,,8.11
07/20/2026,2016,In-Store Credit Card,1793.16,
07/20/2026,2016,Online Credit card,831.43,
07/20/2026,2016,Online Credit Card Tips,,26
07/20/2026,2016,In-Store Credit Card Tips,,103.18
07/20/2026,2016,Gift Card,27.4,
07/20/2026,2016,3rd Party - DoorDash,360.69,
07/20/2026,2016,3rd Party - GrubHub,18.83,
07/20/2026,2020,Subject to Tax,,345.96
07/20/2026,2020,Non-Taxable Sales,,3357.29
07/20/2026,2020,3rd Party Tax Exempt,,26.28
07/20/2026,2020,Register Audit,496,
07/20/2026,2020,Sales Tax,,25.07
07/20/2026,2020,In-Store Credit Card,1736.82,
07/20/2026,2020,Online Credit card,1130.39,
07/20/2026,2020,Online Gift Card,60,
07/20/2026,2020,Online Credit Card Tips,,29
07/20/2026,2020,In-Store Credit Card Tips,,106.45
07/20/2026,2020,Online Gift Card Tips,,2
07/20/2026,2020,Gift Card,69.2,
07/20/2026,2020,3rd Party - DoorDash,354.17,
07/20/2026,2020,3rd Party - GrubHub,45.88,
07/20/2026,2020,Cash Over/Short Adjustment,,0.41
07/20/2026,2023,Subject to Tax,,174.08
07/20/2026,2023,Non-Taxable Sales,,3447.38
07/20/2026,2023,3rd Party Tax Exempt,,14.52
07/20/2026,2023,Sales Tax,,11.56
07/20/2026,2023,In-Store Credit Card,1828.28,
07/20/2026,2023,Payout,26.98,
07/20/2026,2023,Online Credit card,958.47,
07/20/2026,2023,Online Gift Card,22.01,
07/20/2026,2023,Online Credit Card Tips,,22.28
07/20/2026,2023,In-Store Credit Card Tips,,104.31
