Date,Store,Status,Error,Source
06/30/2026,13138,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,13148,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,13160,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,13162,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,13219,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37001,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37002,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37004,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37006,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37007,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37009,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37010,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37013,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37014,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37016,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,37020,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49001,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49002,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49003,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49004,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49005,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49006,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49007,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49008,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49009,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49010,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/30/2026,49011,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2006,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2016,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2017,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2020,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2023,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2024,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,2047,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4003,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4004,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4005,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4008,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4009,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4010,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4015,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
07/01/2026,4021,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
