DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
06/29/2026 - 07/15/2026,2006,60634.62,Royalty Fee,651000,Royalties,3941.25,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/15/2026,2006,60634.62,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,3941.25,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2006,60634.62,National Media Fee,560000,Advertising-National,2425.38,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/15/2026,2006,60634.62,National Media Bank Entry,217000,Accrued Royalties,0.00,2425.38,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/15/2026,2006,60634.62,Corporate Advertising Fee,560001,Advertising-Production Fund,606.35,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/15/2026,2006,60634.62,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,606.35,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2016,71609.40,Royalty Fee,651000,Royalties,4654.61,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/15/2026,2016,71609.40,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4654.61,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2016,71609.40,National Media Fee,560000,Advertising-National,2864.38,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/15/2026,2016,71609.40,National Media Bank Entry,217000,Accrued Royalties,0.00,2864.38,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/15/2026,2016,71609.40,Corporate Advertising Fee,560001,Advertising-Production Fund,716.09,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/15/2026,2016,71609.40,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,716.09,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2017,63212.10,Royalty Fee,651000,Royalties,4108.79,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/15/2026,2017,63212.10,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4108.79,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2017,63212.10,National Media Fee,560000,Advertising-National,2528.48,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/15/2026,2017,63212.10,National Media Bank Entry,217000,Accrued Royalties,0.00,2528.48,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/15/2026,2017,63212.10,Corporate Advertising Fee,560001,Advertising-Production Fund,632.12,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/15/2026,2017,63212.10,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,632.12,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/15/2026,2020,70668.80,Royalty Fee,651000,Royalties,4593.47,0.00,TQSR - Royalty Fee,0,
