Date,Class,Transaction Category,Debit,Credit
07/07/2026,2006,Subject to Tax,,134.42
07/07/2026,2006,Non-Taxable Sales,,2757.83
07/07/2026,2006,3rd Party Tax Exempt,,11.16
07/07/2026,2006,Register Audit,265,
07/07/2026,2006,Sales Tax,,9.27
07/07/2026,2006,In-Store Credit Card,1619.11,
07/07/2026,2006,Online Credit card,594.73,
07/07/2026,2006,Online Gift Card,32,
07/07/2026,2006,Online Credit Card Tips,,14
07/07/2026,2006,In-Store Credit Card Tips,,90.58
07/07/2026,2006,Gift Card,10.7,
07/07/2026,2006,3rd Party - DoorDash,386.28,
07/07/2026,2006,3rd Party - UberEats,110.38,
07/07/2026,2006,Cash Over/Short Adjustment,,0.94
07/07/2026,2016,Subject to Tax,,116.54
07/07/2026,2016,Non-Taxable Sales,,3607.12
07/07/2026,2016,3rd Party Tax Exempt,,18.6
07/07/2026,2016,Register Audit,432,
07/07/2026,2016,Sales Tax,,7.86
07/07/2026,2016,In-Store Credit Card,1795.47,
07/07/2026,2016,Online Credit card,1244.29,
07/07/2026,2016,Online Gift Card,13.05,
07/07/2026,2016,Online Credit Card Tips,,35.1
07/07/2026,2016,In-Store Credit Card Tips,,87.37
07/07/2026,2016,Gift Card,63.86,
07/07/2026,2016,Gift Card Sold,,25
07/07/2026,2016,3rd Party - DoorDash,207.87,
07/07/2026,2016,3rd Party - UberEats,140.75,
07/07/2026,2016,Cash Over/Short Adjustment,0.3,
07/07/2026,2017,Subject to Tax,,128.63
07/07/2026,2017,Non-Taxable Sales,,2750.01
07/07/2026,2017,3rd Party Tax Exempt,,29.34
07/07/2026,2017,Register Audit,176,
07/07/2026,2017,Sales Tax,,8.95
07/07/2026,2017,In-Store Credit Card,1491.03,
07/07/2026,2017,Online Credit card,728.66,
07/07/2026,2017,Online Gift Card,31.45,
07/07/2026,2017,Online Credit Card Tips,,17.3
07/07/2026,2017,In-Store Credit Card Tips,,109.65
07/07/2026,2017,Online Gift Card Tips,,3.6
07/07/2026,2017,Gift Card,12.9,
07/07/2026,2017,3rd Party - DoorDash,494.05,
07/07/2026,2017,3rd Party - GrubHub,25.85,
07/07/2026,2017,3rd Party - UberEats,88.5,
07/07/2026,2017,Cash Over/Short Adjustment,,0.96
07/07/2026,2020,Subject to Tax,,350.99
07/07/2026,2020,Non-Taxable Sales,,3535.84
07/07/2026,2020,3rd Party Tax Exempt,,3.72
07/07/2026,2020,Register Audit,511,
07/07/2026,2020,Sales Tax,,24.24
07/07/2026,2020,In-Store Credit Card,1809.07,
07/07/2026,2020,Online Credit card,1375.9,
07/07/2026,2020,Online Gift Card,32.35,
07/07/2026,2020,Online Credit Card Tips,,51.45
07/07/2026,2020,In-Store Credit Card Tips,,113.69
07/07/2026,2020,Online Gift Card Tips,,2
07/07/2026,2020,Gift Card,50,
07/07/2026,2020,3rd Party - DoorDash,219.62,
07/07/2026,2020,3rd Party - GrubHub,34.68,
07/07/2026,2020,3rd Party - UberEats,48.84,
07/07/2026,2020,Cash Over/Short Adjustment,0.47,
07/07/2026,2023,Subject to Tax,,146.99
07/07/2026,2023,Non-Taxable Sales,,4075.86
07/07/2026,2023,3rd Party Tax Exempt,,48.36
07/07/2026,2023,Register Audit,261,
07/07/2026,2023,Sales Tax,,10.41
07/07/2026,2023,In-Store Credit Card,2006.82,
07/07/2026,2023,Payout,66.65,
07/07/2026,2023,Online Credit card,1219.8,
07/07/2026,2023,Online Gift Card,9.7,
07/07/2026,2023,Online Credit Card Tips,,35
07/07/2026,2023,In-Store Credit Card Tips,,145.11
07/07/2026,2023,Gift Card,18.2,
07/07/2026,2023,3rd Party - DoorDash,704.93,
07/07/2026,2023,3rd Party - UberEats,174.57,
07/07/2026,2023,Cash Over/Short Adjustment,0.06,
07/07/2026,2024,Subject to Tax,,146.04
07/07/2026,2024,Non-Taxable Sales,,2563.5
07/07/2026,2024,3rd Party Tax Exempt,,14.64
07/07/2026,2024,Register Audit,206,
07/07/2026,2024,Sales Tax,,11.42
07/07/2026,2024,In-Store Credit Card,1266.39,
07/07/2026,2024,Online Credit card,738.02,
07/07/2026,2024,Online Gift Card,9.9,
07/07/2026,2024,Online Credit Card Tips,,15
07/07/2026,2024,In-Store Credit Card Tips,,70.81
07/07/2026,2024,Gift Card,17.4,
07/07/2026,2024,3rd Party - DoorDash,422.55,
07/07/2026,2024,3rd Party - UberEats,161.51,
07/07/2026,2024,Cash Over/Short Adjustment,,0.36
07/07/2026,2047,Subject to Tax,,131.04
07/07/2026,2047,Non-Taxable Sales,,2806.51
07/07/2026,2047,3rd Party Tax Exempt,,21.84
07/07/2026,2047,Register Audit,317,
07/07/2026,2047,Sales Tax,,9.08
07/07/2026,2047,In-Store Credit Card,1651.44,
07/07/2026,2047,Online Credit card,664.98,
07/07/2026,2047,Online Credit Card Tips,,19
07/07/2026,2047,In-Store Credit Card Tips,,102.71
07/07/2026,2047,Gift Card,27.87,
07/07/2026,2047,Gift Card Sold,,10
07/07/2026,2047,3rd Party - DoorDash,363.6,
07/07/2026,2047,3rd Party - UberEats,74.64,
07/07/2026,2047,Cash Over/Short Adjustment,0.65,
07/07/2026,4003,Subject to Tax,,4431.71
07/07/2026,4003,Register Audit,479,
07/07/2026,4003,Sales Tax,,432.05
07/07/2026,4003,In-Store Credit Card,2375.25,
07/07/2026,4003,Online Credit card,1030.8,
07/07/2026,4003,Online Gift Card,25,
07/07/2026,4003,Online Credit Card Tips,,33
07/07/2026,4003,In-Store Credit Card Tips,,145.91
07/07/2026,4003,Online Gift Card Tips,,5
07/07/2026,4003,Gift Card,57.08,
07/07/2026,4003,3rd Party - DoorDash,725.95,
07/07/2026,4003,3rd Party - GrubHub,66.43,
07/07/2026,4003,3rd Party - UberEats,287.62,
07/07/2026,4003,Cash Over/Short Adjustment,0.54,
07/07/2026,4004,Subject to Tax,,4674.36
07/07/2026,4004,Register Audit,310,
07/07/2026,4004,Sales Tax,,455.7
07/07/2026,4004,In-Store Credit Card,2525.23,
07/07/2026,4004,Online Credit card,1116.17,
07/07/2026,4004,Online Gift Card,20,
07/07/2026,4004,Online Credit Card Tips,,12
07/07/2026,4004,In-Store Credit Card Tips,,143.18
07/07/2026,4004,Online Gift Card Tips,,2
07/07/2026,4004,Gift Card,36.74,
07/07/2026,4004,3rd Party - DoorDash,748.79,
07/07/2026,4004,3rd Party - GrubHub,31.93,
07/07/2026,4004,3rd Party - UberEats,498.88,
07/07/2026,4004,Cash Over/Short Adjustment,,0.5
