DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
07/13/2026 - 08/02/2026,2017,74376.76,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4834.49,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2017,74376.76,National Media Fee,560000,Advertising-National,2975.07,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2017,74376.76,National Media Bank Entry,217000,Accrued Royalties,0.00,2975.07,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2017,74376.76,Corporate Advertising Fee,560001,Advertising-Production Fund,743.77,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2017,74376.76,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,743.77,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2020,81024.89,Royalty Fee,651000,Royalties,5266.62,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2020,81024.89,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5266.62,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2020,81024.89,National Media Fee,560000,Advertising-National,3241.00,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2020,81024.89,National Media Bank Entry,217000,Accrued Royalties,0.00,3241.00,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2020,81024.89,Corporate Advertising Fee,560001,Advertising-Production Fund,810.25,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2020,81024.89,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,810.25,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2023,80103.23,Royalty Fee,651000,Royalties,5206.71,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2023,80103.23,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5206.71,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2023,80103.23,National Media Fee,560000,Advertising-National,3204.13,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2023,80103.23,National Media Bank Entry,217000,Accrued Royalties,0.00,3204.13,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2023,80103.23,Corporate Advertising Fee,560001,Advertising-Production Fund,801.03,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2023,80103.23,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,801.03,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2024,72300.63,Royalty Fee,651000,Royalties,4699.54,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2024,72300.63,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4699.54,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2024,72300.63,National Media Fee,560000,Advertising-National,2892.03,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2024,72300.63,National Media Bank Entry,217000,Accrued Royalties,0.00,2892.03,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2024,72300.63,Corporate Advertising Fee,560001,Advertising-Production Fund,723.01,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2024,72300.63,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,723.01,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2047,72958.40,Royalty Fee,651000,Royalties,4742.30,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2047,72958.40,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4742.30,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2047,72958.40,National Media Fee,560000,Advertising-National,2918.34,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2047,72958.40,National Media Bank Entry,217000,Accrued Royalties,0.00,2918.34,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2047,72958.40,Corporate Advertising Fee,560001,Advertising-Production Fund,729.58,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2047,72958.40,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,729.58,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4003,94785.66,Royalty Fee,651000,Royalties,6161.07,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4003,94785.66,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,6161.07,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4003,94785.66,National Media Fee,560000,Advertising-National,3791.43,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4003,94785.66,National Media Bank Entry,217000,Accrued Royalties,0.00,3791.43,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4003,94785.66,Corporate Advertising Fee,560001,Advertising-Production Fund,947.86,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4003,94785.66,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,947.86,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4004,83025.36,Royalty Fee,651000,Royalties,5396.65,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4004,83025.36,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5396.65,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4004,83025.36,National Media Fee,560000,Advertising-National,3321.01,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4004,83025.36,National Media Bank Entry,217000,Accrued Royalties,0.00,3321.01,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4004,83025.36,Corporate Advertising Fee,560001,Advertising-Production Fund,830.25,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4004,83025.36,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,830.25,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4005,91279.85,Royalty Fee,651000,Royalties,5933.19,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4005,91279.85,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5933.19,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4005,91279.85,National Media Fee,560000,Advertising-National,3651.19,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4005,91279.85,National Media Bank Entry,217000,Accrued Royalties,0.00,3651.19,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4005,91279.85,Corporate Advertising Fee,560001,Advertising-Production Fund,912.80,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4005,91279.85,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,912.80,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4008,69110.11,Royalty Fee,651000,Royalties,4492.16,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4008,69110.11,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4492.16,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4008,69110.11,National Media Fee,560000,Advertising-National,2764.40,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4008,69110.11,National Media Bank Entry,217000,Accrued Royalties,0.00,2764.40,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4008,69110.11,Corporate Advertising Fee,560001,Advertising-Production Fund,691.10,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4008,69110.11,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,691.10,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4009,54948.66,Royalty Fee,651000,Royalties,3571.66,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4009,54948.66,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,3571.66,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4009,54948.66,National Media Fee,560000,Advertising-National,2197.95,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4009,54948.66,National Media Bank Entry,217000,Accrued Royalties,0.00,2197.95,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4009,54948.66,Corporate Advertising Fee,560001,Advertising-Production Fund,549.49,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4009,54948.66,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,549.49,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4010,61592.13,Royalty Fee,651000,Royalties,4003.49,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4010,61592.13,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4003.49,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4010,61592.13,National Media Fee,560000,Advertising-National,2463.69,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4010,61592.13,National Media Bank Entry,217000,Accrued Royalties,0.00,2463.69,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4010,61592.13,Corporate Advertising Fee,560001,Advertising-Production Fund,615.92,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4010,61592.13,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,615.92,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4015,77847.38,Royalty Fee,651000,Royalties,5060.08,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4015,77847.38,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5060.08,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4015,77847.38,National Media Fee,560000,Advertising-National,3113.90,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4015,77847.38,National Media Bank Entry,217000,Accrued Royalties,0.00,3113.90,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4015,77847.38,Corporate Advertising Fee,560001,Advertising-Production Fund,778.47,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4015,77847.38,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,778.47,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4021,74858.68,Royalty Fee,651000,Royalties,4865.81,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4021,74858.68,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4865.81,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4021,74858.68,National Media Fee,560000,Advertising-National,2994.35,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4021,74858.68,National Media Bank Entry,217000,Accrued Royalties,0.00,2994.35,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4021,74858.68,Corporate Advertising Fee,560001,Advertising-Production Fund,748.59,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4021,74858.68,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,748.59,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4025,65342.92,Royalty Fee,651000,Royalties,4247.29,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4025,65342.92,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4247.29,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4025,65342.92,National Media Fee,560000,Advertising-National,2613.72,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4025,65342.92,National Media Bank Entry,217000,Accrued Royalties,0.00,2613.72,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4025,65342.92,Corporate Advertising Fee,560001,Advertising-Production Fund,653.43,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4025,65342.92,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,653.43,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4027,90156.93,Royalty Fee,651000,Royalties,5860.20,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4027,90156.93,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5860.20,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4027,90156.93,National Media Fee,560000,Advertising-National,3606.28,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4027,90156.93,National Media Bank Entry,217000,Accrued Royalties,0.00,3606.28,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4027,90156.93,Corporate Advertising Fee,560001,Advertising-Production Fund,901.57,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4027,90156.93,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,901.57,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4034,77974.84,Royalty Fee,651000,Royalties,5068.36,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4034,77974.84,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5068.36,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4034,77974.84,National Media Fee,560000,Advertising-National,3118.99,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4034,77974.84,National Media Bank Entry,217000,Accrued Royalties,0.00,3118.99,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4034,77974.84,Corporate Advertising Fee,560001,Advertising-Production Fund,779.75,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4034,77974.84,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,779.75,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4036,99298.82,Royalty Fee,651000,Royalties,6454.42,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4036,99298.82,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,6454.42,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4036,99298.82,National Media Fee,560000,Advertising-National,3971.95,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4036,99298.82,National Media Bank Entry,217000,Accrued Royalties,0.00,3971.95,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4036,99298.82,Corporate Advertising Fee,560001,Advertising-Production Fund,992.99,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4036,99298.82,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,992.99,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4042,109913.86,Royalty Fee,651000,Royalties,7144.40,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4042,109913.86,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,7144.40,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4042,109913.86,National Media Fee,560000,Advertising-National,4396.55,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4042,109913.86,National Media Bank Entry,217000,Accrued Royalties,0.00,4396.55,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4042,109913.86,Corporate Advertising Fee,560001,Advertising-Production Fund,1099.14,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4042,109913.86,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,1099.14,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4052,105348.89,Royalty Fee,651000,Royalties,6847.68,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4052,105348.89,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,6847.68,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4052,105348.89,National Media Fee,560000,Advertising-National,4213.96,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4052,105348.89,National Media Bank Entry,217000,Accrued Royalties,0.00,4213.96,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4052,105348.89,Corporate Advertising Fee,560001,Advertising-Production Fund,1053.49,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4052,105348.89,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,1053.49,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4061,79448.25,Royalty Fee,651000,Royalties,5164.14,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4061,79448.25,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5164.14,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4061,79448.25,National Media Fee,560000,Advertising-National,3177.93,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4061,79448.25,National Media Bank Entry,217000,Accrued Royalties,0.00,3177.93,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4061,79448.25,Corporate Advertising Fee,560001,Advertising-Production Fund,794.48,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4061,79448.25,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,794.48,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4074,60257.23,Royalty Fee,651000,Royalties,3916.72,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,4074,60257.23,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,3916.72,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,4074,60257.23,National Media Fee,560000,Advertising-National,2410.29,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,4074,60257.23,National Media Bank Entry,217000,Accrued Royalties,0.00,2410.29,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,4074,60257.23,Corporate Advertising Fee,560001,Advertising-Production Fund,602.57,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,4074,60257.23,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,602.57,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5042,83857.96,Royalty Fee,651000,Royalties,5450.77,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5042,83857.96,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5450.77,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5042,83857.96,National Media Fee,560000,Advertising-National,3354.32,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5042,83857.96,National Media Bank Entry,217000,Accrued Royalties,0.00,3354.32,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5042,83857.96,Corporate Advertising Fee,560001,Advertising-Production Fund,838.58,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5042,83857.96,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,838.58,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5043,131028.42,Royalty Fee,651000,Royalties,8516.85,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5043,131028.42,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,8516.85,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5043,131028.42,National Media Fee,560000,Advertising-National,5241.14,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5043,131028.42,National Media Bank Entry,217000,Accrued Royalties,0.00,5241.14,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5043,131028.42,Corporate Advertising Fee,560001,Advertising-Production Fund,1310.28,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5043,131028.42,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,1310.28,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5049,64100.36,Royalty Fee,651000,Royalties,4166.52,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5049,64100.36,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4166.52,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5049,64100.36,National Media Fee,560000,Advertising-National,2564.01,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5049,64100.36,National Media Bank Entry,217000,Accrued Royalties,0.00,2564.01,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5049,64100.36,Corporate Advertising Fee,560001,Advertising-Production Fund,641.00,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5049,64100.36,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,641.00,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5051,77923.73,Royalty Fee,651000,Royalties,5065.04,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5051,77923.73,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5065.04,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5051,77923.73,National Media Fee,560000,Advertising-National,3116.95,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5051,77923.73,National Media Bank Entry,217000,Accrued Royalties,0.00,3116.95,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5051,77923.73,Corporate Advertising Fee,560001,Advertising-Production Fund,779.24,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5051,77923.73,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,779.24,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5057,77288.81,Royalty Fee,651000,Royalties,5023.77,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5057,77288.81,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,5023.77,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5057,77288.81,National Media Fee,560000,Advertising-National,3091.55,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5057,77288.81,National Media Bank Entry,217000,Accrued Royalties,0.00,3091.55,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5057,77288.81,Corporate Advertising Fee,560001,Advertising-Production Fund,772.89,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5057,77288.81,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,772.89,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5059,66674.79,Royalty Fee,651000,Royalties,4333.86,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5059,66674.79,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4333.86,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5059,66674.79,National Media Fee,560000,Advertising-National,2666.99,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5059,66674.79,National Media Bank Entry,217000,Accrued Royalties,0.00,2666.99,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5059,66674.79,Corporate Advertising Fee,560001,Advertising-Production Fund,666.75,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5059,66674.79,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,666.75,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5062,65034.23,Royalty Fee,651000,Royalties,4227.22,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5062,65034.23,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4227.22,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5062,65034.23,National Media Fee,560000,Advertising-National,2601.37,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5062,65034.23,National Media Bank Entry,217000,Accrued Royalties,0.00,2601.37,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5062,65034.23,Corporate Advertising Fee,560001,Advertising-Production Fund,650.34,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,5062,65034.23,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,650.34,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5101,66940.54,Royalty Fee,651000,Royalties,4351.14,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,5101,66940.54,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4351.14,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,5101,66940.54,National Media Fee,560000,Advertising-National,2677.62,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,5101,66940.54,National Media Bank Entry,217000,Accrued Royalties,0.00,2677.62,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,5101,66940.54,Corporate Advertising Fee,560001,Advertising-Production Fund,669.41,0.00,TQSR - Corporate Advertising Fee,0,
