DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
07/13/2026 - 08/02/2026,2006,70212.90,Royalty Fee,651000,Royalties,4563.84,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2006,70212.90,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4563.84,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2006,70212.90,National Media Fee,560000,Advertising-National,2808.52,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2006,70212.90,National Media Bank Entry,217000,Accrued Royalties,0.00,2808.52,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2006,70212.90,Corporate Advertising Fee,560001,Advertising-Production Fund,702.13,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2006,70212.90,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,702.13,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2016,74236.24,Royalty Fee,651000,Royalties,4825.36,0.00,TQSR - Royalty Fee,0,
07/13/2026 - 08/02/2026,2016,74236.24,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4825.36,TQSR - Royalties Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2016,74236.24,National Media Fee,560000,Advertising-National,2969.45,0.00,TQSR - National Media Fee,0,
07/13/2026 - 08/02/2026,2016,74236.24,National Media Bank Entry,217000,Accrued Royalties,0.00,2969.45,TQSR - National Media Bank Entry,0,
07/13/2026 - 08/02/2026,2016,74236.24,Corporate Advertising Fee,560001,Advertising-Production Fund,742.36,0.00,TQSR - Corporate Advertising Fee,0,
07/13/2026 - 08/02/2026,2016,74236.24,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,742.36,TQSR - Corp Advertising Bank Acct Entry,0,
07/13/2026 - 08/02/2026,2017,74376.76,Royalty Fee,651000,Royalties,4834.49,0.00,TQSR - Royalty Fee,0,
