Date,Class,Transaction Category,Debit,Credit
08/03/2026,2006,Subject to Tax,,257.87
08/03/2026,2006,Non-Taxable Sales,,3505.37
08/03/2026,2006,3rd Party Tax Exempt,,21.6
08/03/2026,2006,Register Audit,254,
08/03/2026,2006,Sales Tax,,18.45
08/03/2026,2006,In-Store Credit Card,1956.73,
08/03/2026,2006,Payout,46.98,
08/03/2026,2006,Online Credit card,758.79,
08/03/2026,2006,Online Gift Card,20,
08/03/2026,2006,Online Credit Card Tips,,26.1
08/03/2026,2006,In-Store Credit Card Tips,,102.63
08/03/2026,2006,Online Gift Card Tips,,2
08/03/2026,2006,Gift Card,58.2,
08/03/2026,2006,3rd Party - DoorDash,563.23,
08/03/2026,2006,3rd Party - GrubHub,21.12,
08/03/2026,2006,3rd Party - UberEats,255.21,
08/03/2026,2006,Cash Over/Short Adjustment,,0.24
08/03/2026,2016,Subject to Tax,,109.8
08/03/2026,2016,Non-Taxable Sales,,3207.29
08/03/2026,2016,3rd Party Tax Exempt,,14.88
08/03/2026,2016,Sales Tax,,7.42
08/03/2026,2016,In-Store Credit Card,1651.8,
08/03/2026,2016,Online Credit card,880.52,
08/03/2026,2016,Online Credit Card Tips,,16
08/03/2026,2016,In-Store Credit Card Tips,,100.87
08/03/2026,2016,Gift Card,77.48,
08/03/2026,2016,3rd Party - DoorDash,264.73,
08/03/2026,2016,3rd Party - GrubHub,33.72,
08/03/2026,2016,3rd Party - UberEats,21.12,
08/03/2026,2016,Cash Over/Short Adjustment,0.89,
08/03/2026,2016,Register Audit Adjustment,526,
08/03/2026,2017,Subject to Tax,,174.19
08/03/2026,2017,Non-Taxable Sales,,3338.59
08/03/2026,2017,3rd Party Tax Exempt,,22.2
08/03/2026,2017,Register Audit,72,
08/03/2026,2017,Sales Tax,,12.08
08/03/2026,2017,In-Store Credit Card,1912.49,
08/03/2026,2017,Payout,40,
08/03/2026,2017,Online Credit card,1039.17,
08/03/2026,2017,Online Credit Card Tips,,28
08/03/2026,2017,In-Store Credit Card Tips,,141.43
08/03/2026,2017,3rd Party - DoorDash,530.38,
08/03/2026,2017,3rd Party - GrubHub,12.84,
08/03/2026,2017,3rd Party - UberEats,110.44,
08/03/2026,2017,Cash Over/Short Adjustment,,0.83
