DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
08/03/2026 - 08/06/2026,2006,14613.79,Royalty Fee,651000,Royalties,949.90,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2006,14613.79,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,949.90,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2006,14613.79,National Media Fee,560000,Advertising-National,584.55,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2006,14613.79,National Media Bank Entry,217000,Accrued Royalties,0.00,584.55,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2006,14613.79,Corporate Advertising Fee,560001,Advertising-Production Fund,146.14,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2006,14613.79,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,146.14,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2016,14401.02,Royalty Fee,651000,Royalties,936.07,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2016,14401.02,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,936.07,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2016,14401.02,National Media Fee,560000,Advertising-National,576.04,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2016,14401.02,National Media Bank Entry,217000,Accrued Royalties,0.00,576.04,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2016,14401.02,Corporate Advertising Fee,560001,Advertising-Production Fund,144.01,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2016,14401.02,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,144.01,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2017,13586.40,Royalty Fee,651000,Royalties,883.12,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2017,13586.40,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,883.12,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2017,13586.40,National Media Fee,560000,Advertising-National,543.46,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2017,13586.40,National Media Bank Entry,217000,Accrued Royalties,0.00,543.46,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2017,13586.40,Corporate Advertising Fee,560001,Advertising-Production Fund,135.86,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2017,13586.40,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,135.86,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2020,13588.54,Royalty Fee,651000,Royalties,883.26,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2020,13588.54,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,883.26,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2020,13588.54,National Media Fee,560000,Advertising-National,543.54,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2020,13588.54,National Media Bank Entry,217000,Accrued Royalties,0.00,543.54,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2020,13588.54,Corporate Advertising Fee,560001,Advertising-Production Fund,135.89,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2020,13588.54,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,135.89,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2023,15306.82,Royalty Fee,651000,Royalties,994.94,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2023,15306.82,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,994.94,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2023,15306.82,National Media Fee,560000,Advertising-National,612.27,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2023,15306.82,National Media Bank Entry,217000,Accrued Royalties,0.00,612.27,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2023,15306.82,Corporate Advertising Fee,560001,Advertising-Production Fund,153.07,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2023,15306.82,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,153.07,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2024,12268.12,Royalty Fee,651000,Royalties,797.43,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2024,12268.12,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,797.43,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2024,12268.12,National Media Fee,560000,Advertising-National,490.72,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2024,12268.12,National Media Bank Entry,217000,Accrued Royalties,0.00,490.72,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2024,12268.12,Corporate Advertising Fee,560001,Advertising-Production Fund,122.68,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2024,12268.12,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,122.68,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2047,12976.08,Royalty Fee,651000,Royalties,843.45,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,2047,12976.08,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,843.45,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,2047,12976.08,National Media Fee,560000,Advertising-National,519.04,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,2047,12976.08,National Media Bank Entry,217000,Accrued Royalties,0.00,519.04,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,2047,12976.08,Corporate Advertising Fee,560001,Advertising-Production Fund,129.76,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/06/2026,2047,12976.08,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,129.76,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/06/2026,4003,18510.86,Royalty Fee,651000,Royalties,1203.21,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/06/2026,4003,18510.86,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,1203.21,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/06/2026,4003,18510.86,National Media Fee,560000,Advertising-National,740.43,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/06/2026,4003,18510.86,National Media Bank Entry,217000,Accrued Royalties,0.00,740.43,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/06/2026,4003,18510.86,Corporate Advertising Fee,560001,Advertising-Production Fund,185.11,0.00,TQSR - Corporate Advertising Fee,0,
