Date,Class,Transaction Category,Debit,Credit
07/13/2026,2006,Subject to Tax,,152.38
07/13/2026,2006,Non-Taxable Sales,,3157.88
07/13/2026,2006,3rd Party Tax Exempt,,29.28
07/13/2026,2006,Register Audit,211,
07/13/2026,2006,Sales Tax,,10.26
07/13/2026,2006,In-Store Credit Card,1905.72,
07/13/2026,2006,Payout,42.38,
07/13/2026,2006,Online Credit card,636.84,
07/13/2026,2006,Online Gift Card,10.7,
07/13/2026,2006,Online Credit Card Tips,,12
07/13/2026,2006,In-Store Credit Card Tips,,115.71
07/13/2026,2006,Gift Card,14.9,
07/13/2026,2006,3rd Party - DoorDash,457.67,
07/13/2026,2006,3rd Party - GrubHub,68.28,
07/13/2026,2006,3rd Party - UberEats,130.04,
07/13/2026,2006,Cash Over/Short Adjustment,,0.02
07/13/2026,2016,Subject to Tax,,169.14
07/13/2026,2016,Non-Taxable Sales,,3563.18
07/13/2026,2016,3rd Party Tax Exempt,,18.6
07/13/2026,2016,Register Audit,513,
07/13/2026,2016,Sales Tax,,11.16
07/13/2026,2016,In-Store Credit Card,1850.28,
07/13/2026,2016,Online Credit card,1011.45,
07/13/2026,2016,Online Gift Card,2.8,
07/13/2026,2016,Online Credit Card Tips,,39.24
07/13/2026,2016,In-Store Credit Card Tips,,96.27
07/13/2026,2016,Gift Card,46.5,
07/13/2026,2016,3rd Party - DoorDash,452.01,
07/13/2026,2016,3rd Party - UberEats,21.84,
07/13/2026,2016,Cash Over/Short Adjustment,,0.29
07/13/2026,2017,Subject to Tax,,151.56
07/13/2026,2017,Non-Taxable Sales,,2981.14
07/13/2026,2017,3rd Party Tax Exempt,,7.44
07/13/2026,2017,Register Audit,46,
07/13/2026,2017,Sales Tax,,10.42
07/13/2026,2017,In-Store Credit Card,1964.44,
07/13/2026,2017,Payout,50,
07/13/2026,2017,Online Credit card,850.29,
07/13/2026,2017,Online Gift Card,17.4,
07/13/2026,2017,Online Credit Card Tips,,24
07/13/2026,2017,In-Store Credit Card Tips,,133.56
07/13/2026,2017,Gift Card,22.5,
07/13/2026,2017,3rd Party - DoorDash,306.43,
07/13/2026,2017,3rd Party - GrubHub,11.51,
07/13/2026,2017,3rd Party - UberEats,40.5,
07/13/2026,2017,Cash Over/Short Adjustment,,0.95
07/13/2026,2020,Subject to Tax,,335.66
07/13/2026,2020,Non-Taxable Sales,,3587.33
07/13/2026,2020,3rd Party Tax Exempt,,14.52
07/13/2026,2020,Register Audit,472,
07/13/2026,2020,Sales Tax,,23.98
07/13/2026,2020,In-Store Credit Card,2196.01,
07/13/2026,2020,Online Credit card,1007.45,
07/13/2026,2020,Online Credit Card Tips,,20
07/13/2026,2020,In-Store Credit Card Tips,,120.09
07/13/2026,2020,Gift Card,10,
