Date,Class,Transaction Category,Debit,Credit
07/16/2026,2006,Subject to Tax,,166.34
07/16/2026,2006,Non-Taxable Sales,,3716.47
07/16/2026,2006,3rd Party Tax Exempt,,30.12
07/16/2026,2006,Register Audit,290,
07/16/2026,2006,Sales Tax,,11.71
07/16/2026,2006,In-Store Credit Card,1521.55,
07/16/2026,2006,Payout,90,
07/16/2026,2006,Online Credit card,1319.9,
07/16/2026,2006,Online Credit Card Tips,,29
07/16/2026,2006,In-Store Credit Card Tips,,89.09
07/16/2026,2006,Gift Card,89.05,
07/16/2026,2006,3rd Party - DoorDash,572.18,
07/16/2026,2006,3rd Party - GrubHub,21.12,
07/16/2026,2006,3rd Party - UberEats,229.53,
07/16/2026,2006,Cash Over/Short Adjustment,,0.6
07/16/2026,2016,Subject to Tax,,138.68
07/16/2026,2016,Non-Taxable Sales,,4118.92
07/16/2026,2016,3rd Party Tax Exempt,,26.04
07/16/2026,2016,Register Audit,455,
07/16/2026,2016,Sales Tax,,9.39
07/16/2026,2016,In-Store Credit Card,1992.91,
07/16/2026,2016,Online Credit card,964.89,
07/16/2026,2016,Online Gift Card,95,
07/16/2026,2016,Online Credit Card Tips,,39.19
07/16/2026,2016,In-Store Credit Card Tips,,109.42
07/16/2026,2016,Gift Card,23.9,
07/16/2026,2016,3rd Party - DoorDash,637.45,
07/16/2026,2016,3rd Party - GrubHub,96.36,
07/16/2026,2016,3rd Party - UberEats,175.83,
07/16/2026,2016,Cash Over/Short Adjustment,0.3,
07/16/2026,2017,Subject to Tax,,210.72
07/16/2026,2017,Non-Taxable Sales,,4067.69
07/16/2026,2017,3rd Party Tax Exempt,,7.68
07/16/2026,2017,Register Audit,343,
07/16/2026,2017,Sales Tax,,14.94
07/16/2026,2017,In-Store Credit Card,2140.89,
07/16/2026,2017,Payout,6.99,
07/16/2026,2017,Online Credit card,1348.23,
07/16/2026,2017,Online Gift Card,94.88,
07/16/2026,2017,Online Credit Card Tips,,51
07/16/2026,2017,In-Store Credit Card Tips,,131.82
07/16/2026,2017,Online Gift Card Tips,,1
07/16/2026,2017,Gift Card,28.66,
07/16/2026,2017,3rd Party - DoorDash,458.26,
07/16/2026,2017,3rd Party - GrubHub,18.23,
07/16/2026,2017,3rd Party - UberEats,46.56,
07/16/2026,2017,Cash Over/Short Adjustment,,0.85
07/16/2026,2020,Subject to Tax,,324.06
07/16/2026,2020,Non-Taxable Sales,,3942.57
07/16/2026,2020,3rd Party Tax Exempt,,17.88
07/16/2026,2020,Register Audit,660,
