Date,Class,Transaction Category,Debit,Credit
08/06/2026,2006,Subject to Tax,,129.08
08/06/2026,2006,Non-Taxable Sales,,3545.46
08/06/2026,2006,3rd Party Tax Exempt,,40.2
08/06/2026,2006,Register Audit,250,
08/06/2026,2006,Sales Tax,,8.89
08/06/2026,2006,In-Store Credit Card,1901.92,
08/06/2026,2006,Online Credit card,816.11,
08/06/2026,2006,Online Credit Card Tips,,13
08/06/2026,2006,In-Store Credit Card Tips,,91.54
08/06/2026,2006,Gift Card,79.15,
08/06/2026,2006,3rd Party - DoorDash,649.24,
08/06/2026,2006,3rd Party - GrubHub,40.5,
08/06/2026,2006,3rd Party - UberEats,91.53,
08/06/2026,2006,Cash Over/Short Adjustment,,0.28
08/06/2026,2016,Subject to Tax,,102.3
08/06/2026,2016,Non-Taxable Sales,,3646.99
08/06/2026,2016,3rd Party Tax Exempt,,22.32
08/06/2026,2016,Register Audit,430,
08/06/2026,2016,Sales Tax,,6.64
08/06/2026,2016,In-Store Credit Card,1572.72,
08/06/2026,2016,Online Credit card,1329.9,
08/06/2026,2016,Online Gift Card,25,
08/06/2026,2016,Online Credit Card Tips,,37.5
08/06/2026,2016,In-Store Credit Card Tips,,115.46
08/06/2026,2016,Online Gift Card Tips,,5
08/06/2026,2016,Gift Card,54.8,
08/06/2026,2016,3rd Party - DoorDash,380.55,
08/06/2026,2016,3rd Party - GrubHub,17.38,
08/06/2026,2016,3rd Party - UberEats,125.38,
08/06/2026,2016,Cash Over/Short Adjustment,0.48,
08/06/2026,2017,Subject to Tax,,132.22
08/06/2026,2017,Non-Taxable Sales,,3523.95
08/06/2026,2017,3rd Party Tax Exempt,,17.88
08/06/2026,2017,Register Audit,11,
08/06/2026,2017,Sales Tax,,9.37
08/06/2026,2017,In-Store Credit Card,1727.87,
08/06/2026,2017,Payout,32.89,
08/06/2026,2017,Online Credit card,1087.23,
08/06/2026,2017,Online Gift Card,27.65,
08/06/2026,2017,Online Credit Card Tips,,35
08/06/2026,2017,In-Store Credit Card Tips,,128.13
08/06/2026,2017,Gift Card,25.35,
08/06/2026,2017,3rd Party - DoorDash,817.83,
08/06/2026,2017,3rd Party - GrubHub,53.87,
08/06/2026,2017,3rd Party - UberEats,63.59,
08/06/2026,2017,Cash Over/Short Adjustment,,0.73
08/06/2026,2020,Subject to Tax,,541.37
08/06/2026,2020,Non-Taxable Sales,,3399.1
08/06/2026,2020,3rd Party Tax Exempt,,7.08
08/06/2026,2020,Register Audit,624,
08/06/2026,2020,Sales Tax,,38.83
08/06/2026,2020,In-Store Credit Card,1810.6,
08/06/2026,2020,Online Credit card,1261.66,
08/06/2026,2020,Online Credit Card Tips,,31.75
08/06/2026,2020,In-Store Credit Card Tips,,109.79
08/06/2026,2020,Gift Card,50.41,
08/06/2026,2020,3rd Party - DoorDash,242.85,
08/06/2026,2020,3rd Party - GrubHub,67.48,
08/06/2026,2020,3rd Party - UberEats,71.27,
08/06/2026,2020,Cash Over/Short Adjustment,,0.35
08/06/2026,2023,Subject to Tax,,174.02
08/06/2026,2023,Non-Taxable Sales,,4273.27
08/06/2026,2023,3rd Party Tax Exempt,,14.88
08/06/2026,2023,Register Audit,268,
08/06/2026,2023,Sales Tax,,11.24
08/06/2026,2023,In-Store Credit Card,2195.35,
08/06/2026,2023,Payout,7.55,
08/06/2026,2023,Online Credit card,1205.56,
08/06/2026,2023,Online Gift Card,41.83,
08/06/2026,2023,Online Credit Card Tips,,40.7
08/06/2026,2023,In-Store Credit Card Tips,,151.34
08/06/2026,2023,Gift Card,47.3,
08/06/2026,2023,3rd Party - DoorDash,841.83,
08/06/2026,2023,3rd Party - GrubHub,27.72,
08/06/2026,2023,3rd Party - UberEats,29.82,
08/06/2026,2023,Cash Over/Short Adjustment,0.49,
08/06/2026,2024,Subject to Tax,,246.21
08/06/2026,2024,Non-Taxable Sales,,2655.63
08/06/2026,2024,3rd Party Tax Exempt,,11.4
08/06/2026,2024,Register Audit,123,
08/06/2026,2024,Sales Tax,,18.73
08/06/2026,2024,In-Store Credit Card,1541.14,
08/06/2026,2024,Payout,34.62,
08/06/2026,2024,Online Credit card,915.91,
08/06/2026,2024,Online Gift Card,25,
08/06/2026,2024,Online Credit Card Tips,,10
