Date,Class,Transaction Category,Debit,Credit
07/27/2026,2006,Subject to Tax,,130.4
07/27/2026,2006,Non-Taxable Sales,,2722.03
07/27/2026,2006,3rd Party Tax Exempt,,24.9
07/27/2026,2006,Register Audit,228,
07/27/2026,2006,Sales Tax,,9.24
07/27/2026,2006,In-Store Credit Card,1464.07,
07/27/2026,2006,Payout,20,
07/27/2026,2006,Online Credit card,631.66,
07/27/2026,2006,Online Gift Card,26.15,
07/27/2026,2006,Online Credit Card Tips,,24.1
07/27/2026,2006,In-Store Credit Card Tips,,63.14
07/27/2026,2006,Gift Card,53.3,
07/27/2026,2006,3rd Party - DoorDash,484.64,
07/27/2026,2006,3rd Party - UberEats,86.04,
07/27/2026,2006,Cash Over/Short Adjustment,,0.05
07/27/2026,2016,Subject to Tax,,133.6
07/27/2026,2016,Non-Taxable Sales,,2623.62
07/27/2026,2016,3rd Party Tax Exempt,,7.44
07/27/2026,2016,Register Audit,224,
07/27/2026,2016,Sales Tax,,8.74
07/27/2026,2016,In-Store Credit Card,1289.5,
07/27/2026,2016,Online Credit card,912.64,
07/27/2026,2016,Online Gift Card,28.3,
07/27/2026,2016,Online Credit Card Tips,,23.85
07/27/2026,2016,In-Store Credit Card Tips,,74.21
07/27/2026,2016,Gift Card,21.51,
07/27/2026,2016,3rd Party - DoorDash,344,
07/27/2026,2016,3rd Party - UberEats,51.41,
07/27/2026,2016,Cash Over/Short Adjustment,0.1,
07/27/2026,2020,Subject to Tax,,331.99
07/27/2026,2020,Non-Taxable Sales,,3081.48
07/27/2026,2020,3rd Party Tax Exempt,,29.4
07/27/2026,2020,Register Audit,491,
07/27/2026,2020,Sales Tax,,23.34
07/27/2026,2020,In-Store Credit Card,1753.59,
07/27/2026,2020,Online Credit card,858.33,
07/27/2026,2020,Online Credit Card Tips,,9
07/27/2026,2020,In-Store Credit Card Tips,,86.28
07/27/2026,2020,Gift Card,10,
07/27/2026,2020,3rd Party - DoorDash,409.11,
07/27/2026,2020,3rd Party - UberEats,39.71,
07/27/2026,2020,Cash Over/Short Adjustment,,0.25
07/27/2026,2023,Subject to Tax,,174.32
07/27/2026,2023,Non-Taxable Sales,,3329.8
07/27/2026,2023,3rd Party Tax Exempt,,21.96
07/27/2026,2023,Register Audit,235,
07/27/2026,2023,Sales Tax,,12.28
07/27/2026,2023,In-Store Credit Card,1723.05,
07/27/2026,2023,Payout,14.02,
07/27/2026,2023,Online Credit card,799.59,
07/27/2026,2023,Online Credit Card Tips,,27
07/27/2026,2023,In-Store Credit Card Tips,,104.69
07/27/2026,2023,Gift Card,36.9,
07/27/2026,2023,3rd Party - DoorDash,648.66,
07/27/2026,2023,3rd Party - GrubHub,58.14,
07/27/2026,2023,3rd Party - UberEats,154.24,
07/27/2026,2023,Cash Over/Short Adjustment,0.45,
07/27/2026,2024,Subject to Tax,,186.02
07/27/2026,2024,Non-Taxable Sales,,2741.88
07/27/2026,2024,3rd Party Tax Exempt,,18.16
07/27/2026,2024,Register Audit,222,
07/27/2026,2024,Sales Tax,,14.58
07/27/2026,2024,In-Store Credit Card,1578.69,
07/27/2026,2024,Payout,78.08,
07/27/2026,2024,Online Credit card,652.81,
07/27/2026,2024,Online Credit Card Tips,,16.95
07/27/2026,2024,In-Store Credit Card Tips,,96.88
07/27/2026,2024,Gift Card,147.18,
07/27/2026,2024,3rd Party - DoorDash,353.97,
07/27/2026,2024,3rd Party - UberEats,42.18,
07/27/2026,2024,Cash Over/Short Adjustment,,0.44
07/27/2026,2047,Subject to Tax,,158.16
07/27/2026,2047,Non-Taxable Sales,,2871.21
07/27/2026,2047,3rd Party Tax Exempt,,17.68
07/27/2026,2047,Register Audit,146,
07/27/2026,2047,Sales Tax,,11.19
07/27/2026,2047,In-Store Credit Card,1905.48,
07/27/2026,2047,Payout,82.06,
07/27/2026,2047,Online Credit card,608.32,
07/27/2026,2047,Online Credit Card Tips,,8
07/27/2026,2047,In-Store Credit Card Tips,,113.8
07/27/2026,2047,Gift Card,9.9,
07/27/2026,2047,3rd Party - DoorDash,370.11,
07/27/2026,2047,3rd Party - GrubHub,15.11,
07/27/2026,2047,3rd Party - UberEats,62.76,
07/27/2026,2047,Cash Over/Short Adjustment,0.3,
07/27/2026,4003,Subject to Tax,,5484.72
07/27/2026,4003,Register Audit,315,
07/27/2026,4003,Sales Tax,,534.67
07/27/2026,4003,In-Store Credit Card,2770.36,
07/27/2026,4003,Payout,37,
07/27/2026,4003,Online Credit card,1607.94,
07/27/2026,4003,Online Credit Card Tips,,34.45
07/27/2026,4003,In-Store Credit Card Tips,,209.5
07/27/2026,4003,Gift Card,14.93,
07/27/2026,4003,3rd Party - DoorDash,1168.42,
07/27/2026,4003,3rd Party - UberEats,350.56,
07/27/2026,4003,Cash Over/Short Adjustment,,0.87
07/27/2026,4004,Subject to Tax,,3657.11
07/27/2026,4004,Register Audit,217,
07/27/2026,4004,Sales Tax,,356.54
07/27/2026,4004,In-Store Credit Card,1517.59,
07/27/2026,4004,Online Credit card,870.87,
07/27/2026,4004,Online Credit Card Tips,,32
07/27/2026,4004,In-Store Credit Card Tips,,89.35
07/27/2026,4004,3rd Party - DoorDash,730.21,
07/27/2026,4004,3rd Party - UberEats,799.37,
07/27/2026,4004,Cash Over/Short Adjustment,,0.04
07/27/2026,4005,Subject to Tax,,3670.72
07/27/2026,4005,Register Audit,347,
07/27/2026,4005,Sales Tax,,357.82
07/27/2026,4005,In-Store Credit Card,2519.63,
07/27/2026,4005,Online Credit card,989.69,
07/27/2026,4005,Online Gift Card,11.74,
07/27/2026,4005,In-Store Credit Card Tips,,200.32
07/27/2026,4005,Gift Card,47.9,
07/27/2026,4005,3rd Party - DoorDash,312.93,
07/27/2026,4005,Cash Over/Short Adjustment,,0.03
07/27/2026,4008,Subject to Tax,,3433.98
07/27/2026,4008,Register Audit,122,
07/27/2026,4008,Sales Tax,,334.85
07/27/2026,4008,In-Store Credit Card,1992.82,
07/27/2026,4008,Payout,102.6,
07/27/2026,4008,Online Credit card,1269.84,
07/27/2026,4008,Online Credit Card Tips,,23.73
07/27/2026,4008,In-Store Credit Card Tips,,121.49
07/27/2026,4008,3rd Party - DoorDash,264.91,
07/27/2026,4008,3rd Party - GrubHub,39.6,
07/27/2026,4008,3rd Party - UberEats,122.44,
07/27/2026,4008,Cash Over/Short Adjustment,,0.16
07/27/2026,4009,Subject to Tax,,2811.86
07/27/2026,4009,Register Audit,316,
07/27/2026,4009,Sales Tax,,274.09
07/27/2026,4009,In-Store Credit Card,1772.16,
07/27/2026,4009,Online Credit card,391.07,
07/27/2026,4009,Online Gift Card,36.88,
07/27/2026,4009,Online Credit Card Tips,,15
07/27/2026,4009,In-Store Credit Card Tips,,87.57
07/27/2026,4009,Gift Card,25.46,
07/27/2026,4009,3rd Party - DoorDash,596.74,
07/27/2026,4009,3rd Party - UberEats,49.97,
07/27/2026,4009,Cash Over/Short Adjustment,0.24,
07/27/2026,4010,Subject to Tax,,2500.74
07/27/2026,4010,Register Audit,211,
07/27/2026,4010,Sales Tax,,243.9
07/27/2026,4010,In-Store Credit Card,1523.13,
07/27/2026,4010,Payout,20.27,
07/27/2026,4010,Online Credit card,725.67,
07/27/2026,4010,In-Store Credit Card Tips,,113.74
07/27/2026,4010,Gift Card,16.81,
07/27/2026,4010,3rd Party - DoorDash,160.95,
07/27/2026,4010,3rd Party - GrubHub,28.18,
07/27/2026,4010,3rd Party - UberEats,171.95,
07/27/2026,4010,Cash Over/Short Adjustment,0.42,
07/27/2026,4015,Subject to Tax,,3200.49
07/27/2026,4015,Register Audit,340,
07/27/2026,4015,Sales Tax,,312.09
07/27/2026,4015,In-Store Credit Card,1881.42,
07/27/2026,4015,Online Credit card,643.12,
07/27/2026,4015,Online Credit Card Tips,,7
07/27/2026,4015,In-Store Credit Card Tips,,130.2
07/27/2026,4015,Gift Card,59.58,
07/27/2026,4015,3rd Party - DoorDash,503.74,
07/27/2026,4015,3rd Party - UberEats,221.86,
07/27/2026,4015,Cash Over/Short Adjustment,0.06,
07/27/2026,4021,Subject to Tax,,4362.71
07/27/2026,4021,Register Audit,272,
07/27/2026,4021,Sales Tax,,425.36
07/27/2026,4021,In-Store Credit Card,2337.45,
07/27/2026,4021,Online Credit card,1560.22,
07/27/2026,4021,Online Gift Card,10,
07/27/2026,4021,Online Credit Card Tips,,25
07/27/2026,4021,In-Store Credit Card Tips,,163.26
07/27/2026,4021,Gift Card,20,
07/27/2026,4021,3rd Party - DoorDash,371.58,
07/27/2026,4021,3rd Party - GrubHub,55.78,
07/27/2026,4021,3rd Party - UberEats,348.64,
07/27/2026,4021,Cash Over/Short Adjustment,0.66,
07/27/2026,4025,Subject to Tax,,2896.22
07/27/2026,4025,Register Audit,313,
07/27/2026,4025,Sales Tax,,282.43
07/27/2026,4025,In-Store Credit Card,1790.65,
07/27/2026,4025,Online Credit card,822.91,
07/27/2026,4025,Online Credit Card Tips,,32
07/27/2026,4025,In-Store Credit Card Tips,,110.37
07/27/2026,4025,Gift Card,55.09,
07/27/2026,4025,3rd Party - DoorDash,237.38,
07/27/2026,4025,3rd Party - GrubHub,14.09,
07/27/2026,4025,3rd Party - UberEats,88.51,
07/27/2026,4025,Cash Over/Short Adjustment,,0.61
07/27/2026,4027,Subject to Tax,,4758.13
07/27/2026,4027,Sales Tax,,463.88
07/27/2026,4027,In-Store Credit Card,2351.71,
07/27/2026,4027,Online Credit card,1379.35,
07/27/2026,4027,In-Store Credit Card Tips,,125.07
07/27/2026,4027,3rd Party - DoorDash,385.54,
07/27/2026,4027,3rd Party - GrubHub,16.19,
07/27/2026,4027,3rd Party - UberEats,847.42,
07/27/2026,4027,Cash Over/Short Adjustment,0.87,
07/27/2026,4027,Register Audit Adjustment,366,
07/27/2026,4042,Subject to Tax,,4504.6
07/27/2026,4042,Sales Tax,,439.11
07/27/2026,4042,In-Store Credit Card,2254.4,
07/27/2026,4042,Online Credit card,1470.05,
07/27/2026,4042,Online Credit Card Tips,,37.5
07/27/2026,4042,In-Store Credit Card Tips,,143.28
07/27/2026,4042,3rd Party - DoorDash,936,
07/27/2026,4042,3rd Party - UberEats,160.32,
07/27/2026,4042,Cash Over/Short Adjustment,0.72,
07/27/2026,4042,Register Audit Adjustment,303,
07/27/2026,4052,Subject to Tax,,5817.65
07/27/2026,4052,Tax Exempt,,366.9
07/27/2026,4052,Register Audit,708,
07/27/2026,4052,Sales Tax,,567.15
07/27/2026,4052,In-Store Credit Card,2979,
07/27/2026,4052,Payout,41.46,
07/27/2026,4052,Online Credit card,2287.18,
07/27/2026,4052,Online Gift Card,39.29,
07/27/2026,4052,Online Credit Card Tips,,51.54
