Date,Class,Transaction Category,Debit,Credit
07/10/2026,2006,Subject to Tax,,102.54
07/10/2026,2006,Non-Taxable Sales,,3909.94
07/10/2026,2006,3rd Party Tax Exempt,,17.88
07/10/2026,2006,Register Audit,463,
07/10/2026,2006,Sales Tax,,7.36
07/10/2026,2006,In-Store Credit Card,1835.01,
07/10/2026,2006,Online Credit card,1199.53,
07/10/2026,2006,Online Gift Card,14.33,
07/10/2026,2006,Online Credit Card Tips,,55.3
07/10/2026,2006,In-Store Credit Card Tips,,145.03
07/10/2026,2006,3rd Party - DoorDash,807.72,
07/10/2026,2006,3rd Party - GrubHub,44.81,
07/10/2026,2006,3rd Party - UberEats,160.73,
07/10/2026,2006,Payin,,287
07/10/2026,2006,Cash Over/Short Adjustment,,0.08
07/10/2026,2016,Subject to Tax,,147.94
07/10/2026,2016,Non-Taxable Sales,,3490.1
07/10/2026,2016,3rd Party Tax Exempt,,14.88
07/10/2026,2016,Register Audit,678.28,
07/10/2026,2016,Sales Tax,,9.71
07/10/2026,2016,In-Store Credit Card,1629.67,
07/10/2026,2016,Payout,20,
07/10/2026,2016,Online Credit card,1010.35,
07/10/2026,2016,Online Gift Card,26.45,
07/10/2026,2016,Online Credit Card Tips,,24.6
07/10/2026,2016,In-Store Credit Card Tips,,75.79
07/10/2026,2016,Gift Card,44.2,
07/10/2026,2016,3rd Party - DoorDash,398.36,
07/10/2026,2016,3rd Party - GrubHub,45.95,
07/10/2026,2016,3rd Party - UberEats,215.81,
07/10/2026,2016,Payin,,306
07/10/2026,2016,Cash Over/Short Adjustment,,0.05
07/10/2026,2017,Subject to Tax,,177.32
07/10/2026,2017,Non-Taxable Sales,,3693.52
07/10/2026,2017,3rd Party Tax Exempt,,26.76
07/10/2026,2017,Register Audit,335,
07/10/2026,2017,Sales Tax,,12.69
07/10/2026,2017,In-Store Credit Card,1917.38,
07/10/2026,2017,Online Credit card,1416.31,
07/10/2026,2017,Online Gift Card,30.9,
07/10/2026,2017,Online Credit Card Tips,,40.9
07/10/2026,2017,In-Store Credit Card Tips,,133.67
07/10/2026,2017,Online Gift Card Tips,,2
07/10/2026,2017,Gift Card,18.34,
