Date,Class,Transaction Category,Debit,Credit
08/04/2026,2006,Subject to Tax,,231.36
08/04/2026,2006,Non-Taxable Sales,,3749.4
08/04/2026,2006,3rd Party Tax Exempt,,15.36
08/04/2026,2006,Register Audit,98,
08/04/2026,2006,Sales Tax,,16.47
08/04/2026,2006,In-Store Credit Card,2150.95,
08/04/2026,2006,Payout,68.06,
08/04/2026,2006,Online Credit card,1294.7,
08/04/2026,2006,Online Gift Card,10.7,
08/04/2026,2006,Online Credit Card Tips,,36
08/04/2026,2006,In-Store Credit Card Tips,,107.07
08/04/2026,2006,Gift Card,22,
08/04/2026,2006,3rd Party - DoorDash,282.08,
08/04/2026,2006,3rd Party - GrubHub,65.62,
08/04/2026,2006,3rd Party - UberEats,163.62,
08/04/2026,2006,Cash Over/Short Adjustment,,0.07
08/04/2026,2016,Subject to Tax,,173.83
08/04/2026,2016,Non-Taxable Sales,,3618.03
08/04/2026,2016,3rd Party Tax Exempt,,14.88
08/04/2026,2016,Sales Tax,,11.47
08/04/2026,2016,In-Store Credit Card,1820.55,
08/04/2026,2016,Payout,43.2,
08/04/2026,2016,Online Credit card,1254.13,
08/04/2026,2016,Online Gift Card,21.3,
08/04/2026,2016,Online Credit Card Tips,,35.8
08/04/2026,2016,In-Store Credit Card Tips,,107.35
08/04/2026,2016,Online Gift Card Tips,,5
08/04/2026,2016,Gift Card,17.39,
08/04/2026,2016,3rd Party - DoorDash,340.06,
08/04/2026,2016,3rd Party - GrubHub,66.84,
08/04/2026,2016,3rd Party - UberEats,74.74,
08/04/2026,2016,Cash Over/Short Adjustment,0.15,
08/04/2026,2016,Register Audit Adjustment,328,
08/04/2026,2017,Subject to Tax,,159.58
08/04/2026,2017,Non-Taxable Sales,,3362.86
08/04/2026,2017,3rd Party Tax Exempt,,14.52
08/04/2026,2017,Register Audit,166,
08/04/2026,2017,Sales Tax,,11.41
08/04/2026,2017,In-Store Credit Card,2027.95,
08/04/2026,2017,Online Credit card,1024.53,
08/04/2026,2017,Online Credit Card Tips,,42.3
08/04/2026,2017,In-Store Credit Card Tips,,142.35
08/04/2026,2017,Gift Card,57.7,
08/04/2026,2017,3rd Party - DoorDash,384.72,
08/04/2026,2017,3rd Party - GrubHub,11.51,
08/04/2026,2017,3rd Party - UberEats,60.46,
08/04/2026,2017,Cash Over/Short Adjustment,0.15,
08/04/2026,2020,Subject to Tax,,322.84
08/04/2026,2020,Non-Taxable Sales,,2855.91
08/04/2026,2020,3rd Party Tax Exempt,,18.24
08/04/2026,2020,Register Audit,321,
08/04/2026,2020,Sales Tax,,22.77
08/04/2026,2020,In-Store Credit Card,1658.26,
08/04/2026,2020,Payout,27,
08/04/2026,2020,Online Credit card,808.55,
08/04/2026,2020,Online Gift Card,100.12,
08/04/2026,2020,Online Credit Card Tips,,25.7
08/04/2026,2020,In-Store Credit Card Tips,,96.31
08/04/2026,2020,Online Gift Card Tips,,1
08/04/2026,2020,Gift Card,13.76,
08/04/2026,2020,3rd Party - DoorDash,395.31,
08/04/2026,2020,3rd Party - UberEats,18.53,
08/04/2026,2020,Cash Over/Short Adjustment,0.24,
08/04/2026,2023,Subject to Tax,,202.44
08/04/2026,2023,Non-Taxable Sales,,3559.15
08/04/2026,2023,3rd Party Tax Exempt,,17.88
08/04/2026,2023,Register Audit,187,
08/04/2026,2023,Sales Tax,,13.84
08/04/2026,2023,In-Store Credit Card,1916.46,
08/04/2026,2023,Online Credit card,1187.99,
08/04/2026,2023,Online Gift Card,62.11,
08/04/2026,2023,Online Credit Card Tips,,31
08/04/2026,2023,In-Store Credit Card Tips,,125.79
08/04/2026,2023,Gift Card,30.15,
08/04/2026,2023,3rd Party - DoorDash,328.84,
08/04/2026,2023,3rd Party - GrubHub,46.2,
08/04/2026,2023,3rd Party - UberEats,190.81,
08/04/2026,2023,Cash Over/Short Adjustment,0.54,
08/04/2026,2024,Subject to Tax,,172.72
08/04/2026,2024,Non-Taxable Sales,,2919.26
08/04/2026,2024,3rd Party Tax Exempt,,26.04
08/04/2026,2024,Register Audit,244,
08/04/2026,2024,Sales Tax,,12.83
08/04/2026,2024,In-Store Credit Card,1470.13,
08/04/2026,2024,Online Credit card,993.46,
08/04/2026,2024,Online Gift Card,16.4,
08/04/2026,2024,Online Credit Card Tips,,40.78
08/04/2026,2024,In-Store Credit Card Tips,,99.19
08/04/2026,2024,Gift Card,19.3,
08/04/2026,2024,3rd Party - DoorDash,290.41,
08/04/2026,2024,3rd Party - GrubHub,72.34,
08/04/2026,2024,3rd Party - UberEats,68.1,
08/04/2026,2024,Cash Over/Short Adjustment,,0.67
08/04/2026,2047,Subject to Tax,,120.9
08/04/2026,2047,Non-Taxable Sales,,2598.21
08/04/2026,2047,Register Audit,288,
08/04/2026,2047,Sales Tax,,8.51
08/04/2026,2047,In-Store Credit Card,1632.97,
08/04/2026,2047,Payout,36.38,
08/04/2026,2047,Online Credit card,404.86,
08/04/2026,2047,Online Gift Card,20.7,
08/04/2026,2047,Online Credit Card Tips,,14
08/04/2026,2047,In-Store Credit Card Tips,,92.53
08/04/2026,2047,Online Gift Card Tips,,2
08/04/2026,2047,Gift Card,53.21,
08/04/2026,2047,3rd Party - DoorDash,287.38,
08/04/2026,2047,3rd Party - GrubHub,24.11,
08/04/2026,2047,3rd Party - UberEats,88.32,
08/04/2026,2047,Cash Over/Short Adjustment,0.22,
08/04/2026,4003,Subject to Tax,,4392.76
08/04/2026,4003,Register Audit,233,
08/04/2026,4003,Sales Tax,,428.26
08/04/2026,4003,In-Store Credit Card,3182.53,
08/04/2026,4003,Online Credit card,1039.97,
08/04/2026,4003,Online Gift Card,29.27,
08/04/2026,4003,Online Credit Card Tips,,37
08/04/2026,4003,In-Store Credit Card Tips,,235.35
08/04/2026,4003,Online Gift Card Tips,,2
08/04/2026,4003,Gift Card,23.4,
08/04/2026,4003,Gift Card Sold,,50
08/04/2026,4003,3rd Party - DoorDash,460.17,
08/04/2026,4003,3rd Party - GrubHub,27.82,
08/04/2026,4003,3rd Party - UberEats,148.24,
08/04/2026,4003,Cash Over/Short Adjustment,0.97,
08/04/2026,4004,Subject to Tax,,4141.28
08/04/2026,4004,Register Audit,128,
08/04/2026,4004,Sales Tax,,403.76
08/04/2026,4004,In-Store Credit Card,2283.31,
08/04/2026,4004,Payout,33.7,
08/04/2026,4004,Online Credit card,810.41,
08/04/2026,4004,Online Gift Card,8.49,
08/04/2026,4004,Online Credit Card Tips,,8
08/04/2026,4004,In-Store Credit Card Tips,,159.16
08/04/2026,4004,Gift Card Sold,,33.5
08/04/2026,4004,3rd Party - DoorDash,949.73,
08/04/2026,4004,3rd Party - GrubHub,30.69,
08/04/2026,4004,3rd Party - UberEats,502.34,
08/04/2026,4004,Cash Over/Short Adjustment,,0.97
08/04/2026,4005,Subject to Tax,,4385.82
08/04/2026,4005,Register Audit,438,
08/04/2026,4005,Sales Tax,,427.57
08/04/2026,4005,In-Store Credit Card,3284.01,
08/04/2026,4005,Online Credit card,810.98,
08/04/2026,4005,Online Gift Card,8.92,
08/04/2026,4005,In-Store Credit Card Tips,,234.73
08/04/2026,4005,Gift Card,26.91,
08/04/2026,4005,3rd Party - DoorDash,218.02,
08/04/2026,4005,3rd Party - UberEats,260.83,
08/04/2026,4005,Cash Over/Short Adjustment,0.45,
08/04/2026,4008,Subject to Tax,,2805.09
08/04/2026,4008,Register Audit,308,
08/04/2026,4008,Sales Tax,,273.31
08/04/2026,4008,In-Store Credit Card,1663,
08/04/2026,4008,Online Credit card,719.73,
08/04/2026,4008,Online Credit Card Tips,,17.16
08/04/2026,4008,In-Store Credit Card Tips,,105.01
08/04/2026,4008,Gift Card,38.96,
08/04/2026,4008,3rd Party - DoorDash,244.37,
08/04/2026,4008,3rd Party - UberEats,226.97,
08/04/2026,4008,Cash Over/Short Adjustment,,0.46
08/04/2026,4009,Subject to Tax,,2714.67
08/04/2026,4009,Register Audit,289,
08/04/2026,4009,Sales Tax,,264.63
08/04/2026,4009,In-Store Credit Card,1636.32,
08/04/2026,4009,Online Credit card,308.35,
08/04/2026,4009,Online Credit Card Tips,,10
08/04/2026,4009,In-Store Credit Card Tips,,77.07
08/04/2026,4009,Gift Card,13.26,
08/04/2026,4009,3rd Party - DoorDash,440.77,
08/04/2026,4009,3rd Party - GrubHub,13.04,
08/04/2026,4009,3rd Party - UberEats,365.7,
08/04/2026,4009,Cash Over/Short Adjustment,,0.07
08/04/2026,4010,Subject to Tax,,2543.49
08/04/2026,4010,Register Audit,178,
08/04/2026,4010,Sales Tax,,247.93
08/04/2026,4010,In-Store Credit Card,1827.97,
08/04/2026,4010,Online Credit card,373.17,
08/04/2026,4010,Online Gift Card,50,
08/04/2026,4010,In-Store Credit Card Tips,,127.24
08/04/2026,4010,Gift Card,11.52,
08/04/2026,4010,3rd Party - DoorDash,306.56,
08/04/2026,4010,3rd Party - GrubHub,31.01,
08/04/2026,4010,3rd Party - UberEats,140.15,
08/04/2026,4010,Cash Over/Short Adjustment,0.28,
08/04/2026,4015,Subject to Tax,,3318.04
08/04/2026,4015,Register Audit,347,
08/04/2026,4015,Sales Tax,,323.44
08/04/2026,4015,In-Store Credit Card,1990.95,
08/04/2026,4015,Online Credit card,929.4,
08/04/2026,4015,Online Gift Card,10.87,
08/04/2026,4015,Online Credit Card Tips,,26
08/04/2026,4015,In-Store Credit Card Tips,,141.86
08/04/2026,4015,Gift Card,11.74,
08/04/2026,4015,3rd Party - DoorDash,477.57,
08/04/2026,4015,3rd Party - UberEats,42.74,
08/04/2026,4015,Cash Over/Short Adjustment,,0.93
08/04/2026,4021,Subject to Tax,,3479.99
08/04/2026,4021,Register Audit,211,
08/04/2026,4021,Sales Tax,,339.24
08/04/2026,4021,In-Store Credit Card,1829.64,
08/04/2026,4021,Online Credit card,1283.24,
08/04/2026,4021,Online Credit Card Tips,,43
08/04/2026,4021,In-Store Credit Card Tips,,109.9
08/04/2026,4021,3rd Party - DoorDash,367.34,
08/04/2026,4021,3rd Party - GrubHub,67.08,
08/04/2026,4021,3rd Party - UberEats,213.3,
08/04/2026,4021,Cash Over/Short Adjustment,0.53,
08/04/2026,4025,Subject to Tax,,2906.71
08/04/2026,4025,Register Audit,228,
08/04/2026,4025,Sales Tax,,283.36
08/04/2026,4025,In-Store Credit Card,1644.97,
08/04/2026,4025,Online Credit card,665.29,
08/04/2026,4025,Online Credit Card Tips,,22.6
08/04/2026,4025,In-Store Credit Card Tips,,89.91
08/04/2026,4025,Gift Card,40.33,
08/04/2026,4025,3rd Party - DoorDash,490.33,
08/04/2026,4025,3rd Party - GrubHub,15.28,
08/04/2026,4025,3rd Party - UberEats,219.02,
08/04/2026,4025,Cash Over/Short Adjustment,,0.64
08/04/2026,4027,Subject to Tax,,4023.96
08/04/2026,4027,Sales Tax,,392.25
08/04/2026,4027,In-Store Credit Card,1977.61,
08/04/2026,4027,Online Credit card,1065.55,
08/04/2026,4027,In-Store Credit Card Tips,,130.99
08/04/2026,4027,Gift Card,8.45,
08/04/2026,4027,3rd Party - DoorDash,564.43,
08/04/2026,4027,3rd Party - UberEats,589.85,
08/04/2026,4027,Cash Over/Short Adjustment,0.31,
08/04/2026,4027,Register Audit Adjustment,341,
08/04/2026,4034,Subject to Tax,,3313.06
08/04/2026,4034,Register Audit,206,
08/04/2026,4034,Sales Tax,,322.99
08/04/2026,4034,In-Store Credit Card,1642.27,
08/04/2026,4034,Online Credit card,1044.96,
08/04/2026,4034,Online Gift Card,33.1,
08/04/2026,4034,Online Credit Card Tips,,17
08/04/2026,4034,In-Store Credit Card Tips,,83.72
08/04/2026,4034,Gift Card,7.66,
08/04/2026,4034,3rd Party - DoorDash,500.97,
08/04/2026,4034,3rd Party - UberEats,302.63,
08/04/2026,4034,Cash Over/Short Adjustment,,0.82
08/04/2026,4036,Subject to Tax,,4550.34
08/04/2026,4036,Register Audit,398,
08/04/2026,4036,Sales Tax,,443.64
08/04/2026,4036,In-Store Credit Card,2456.58,
08/04/2026,4036,Payout,7.76,
08/04/2026,4036,Online Credit card,1309.76,
08/04/2026,4036,Online Credit Card Tips,,44.62
08/04/2026,4036,In-Store Credit Card Tips,,129.3
08/04/2026,4036,Gift Card,22.51,
08/04/2026,4036,3rd Party - DoorDash,449.86,
08/04/2026,4036,3rd Party - UberEats,523.22,
08/04/2026,4036,Cash Over/Short Adjustment,0.21,
08/04/2026,4042,Subject to Tax,,4933.8
08/04/2026,4042,Sales Tax,,481.08
08/04/2026,4042,In-Store Credit Card,2577.1,
08/04/2026,4042,Payout,60,
08/04/2026,4042,Online Credit card,1320.24,
08/04/2026,4042,Online Gift Card,8.26,
08/04/2026,4042,Online Credit Card Tips,,30.86
08/04/2026,4042,In-Store Credit Card Tips,,131.77
08/04/2026,4042,Gift Card,30.27,
08/04/2026,4042,3rd Party - DoorDash,1286.51,
08/04/2026,4042,3rd Party - GrubHub,28.25,
08/04/2026,4042,3rd Party - UberEats,145.95,
08/04/2026,4042,Cash Over/Short Adjustment,0.93,
08/04/2026,4042,Register Audit Adjustment,120,
08/04/2026,4052,Subject to Tax,,4413.17
08/04/2026,4052,Register Audit,694,
08/04/2026,4052,Sales Tax,,430.31
08/04/2026,4052,In-Store Credit Card,2494.15,
08/04/2026,4052,Payout,108.62,
08/04/2026,4052,Online Credit card,1007.67,
