Date,Class,Transaction Category,Debit,Credit
07/03/2026,2006,Subject to Tax,,134.24
07/03/2026,2006,Non-Taxable Sales,,3672.39
07/03/2026,2006,3rd Party Tax Exempt,,21.88
07/03/2026,2006,Register Audit,216,
07/03/2026,2006,Sales Tax,,9.24
07/03/2026,2006,In-Store Credit Card,2139.1,
07/03/2026,2006,Online Credit card,1047.03,
07/03/2026,2006,Online Credit Card Tips,,43
07/03/2026,2006,In-Store Credit Card Tips,,127.43
07/03/2026,2006,Gift Card,25.45,
07/03/2026,2006,3rd Party - DoorDash,398.49,
07/03/2026,2006,3rd Party - GrubHub,11.88,
07/03/2026,2006,3rd Party - UberEats,170.59,
07/03/2026,2006,Cash Over/Short Adjustment,,0.36
07/03/2026,2016,Subject to Tax,,187.02
07/03/2026,2016,Non-Taxable Sales,,5580.49
07/03/2026,2016,3rd Party Tax Exempt,,11.16
07/03/2026,2016,Register Audit,382,
07/03/2026,2016,Sales Tax,,12.37
07/03/2026,2016,In-Store Credit Card,3036.19,
07/03/2026,2016,Online Credit card,1962.14,
07/03/2026,2016,Online Gift Card,103.65,
07/03/2026,2016,Online Credit Card Tips,,44.5
07/03/2026,2016,In-Store Credit Card Tips,,152.65
07/03/2026,2016,Gift Card,27.2,
07/03/2026,2016,3rd Party - DoorDash,377.84,
07/03/2026,2016,3rd Party - GrubHub,17.38,
07/03/2026,2016,3rd Party - UberEats,81.4,
07/03/2026,2016,Cash Over/Short Adjustment,0.39,
07/03/2026,2017,Subject to Tax,,131.54
07/03/2026,2017,Non-Taxable Sales,,4100.88
07/03/2026,2017,3rd Party Tax Exempt,,11.16
07/03/2026,2017,Register Audit,72,
07/03/2026,2017,Sales Tax,,9.45
07/03/2026,2017,In-Store Credit Card,2016.05,
07/03/2026,2017,Online Credit card,1795.5,
07/03/2026,2017,Online Gift Card,9.9,
07/03/2026,2017,Online Credit Card Tips,,48.5
07/03/2026,2017,In-Store Credit Card Tips,,135.15
07/03/2026,2017,Gift Card,48.2,
07/03/2026,2017,3rd Party - DoorDash,338.86,
07/03/2026,2017,3rd Party - GrubHub,79.13,
07/03/2026,2017,3rd Party - UberEats,77.99,
07/03/2026,2017,Cash Over/Short Adjustment,,0.95
07/03/2026,2020,Subject to Tax,,464.36
07/03/2026,2020,Non-Taxable Sales,,4863.92
07/03/2026,2020,3rd Party Tax Exempt,,14.4
07/03/2026,2020,Register Audit,297,
07/03/2026,2020,Sales Tax,,32.7
07/03/2026,2020,In-Store Credit Card,3066.41,
07/03/2026,2020,Online Credit card,1553.46,
07/03/2026,2020,Online Credit Card Tips,,23.65
07/03/2026,2020,In-Store Credit Card Tips,,185.18
07/03/2026,2020,Gift Card,22.09,
07/03/2026,2020,Gift Card Sold,,30
07/03/2026,2020,3rd Party - DoorDash,659.82,
07/03/2026,2020,3rd Party - GrubHub,15.11,
07/03/2026,2020,Cash Over/Short Adjustment,0.32,
07/03/2026,2023,Subject to Tax,,132.36
07/03/2026,2023,Non-Taxable Sales,,5345
07/03/2026,2023,3rd Party Tax Exempt,,37.2
07/03/2026,2023,Register Audit,258,
07/03/2026,2023,Sales Tax,,9.62
07/03/2026,2023,In-Store Credit Card,2326.1,
07/03/2026,2023,Payout,29.13,
07/03/2026,2023,Online Credit card,1656.87,
